id,site,category,mass,volume,first,first_deadline,desired,priority,hard_deadline
S001-MED-01,S001,医疗物资,3,0.012,True,3600.0,3600,24,3600.0
S001-MED-02,S001,医疗物资,3,0.012,False,inf,3600,24,3600.0
S001-WAT-01,S001,饮用水,14,0.027,True,3600.0,3600,12,3600.0
S001-WAT-02,S001,饮用水,14,0.027,False,inf,3600,12,inf
S001-WAT-03,S001,饮用水,14,0.027,False,inf,3600,12,inf
S001-WAT-04,S001,饮用水,14,0.027,False,inf,3600,12,inf
S001-WAT-05,S001,饮用水,14,0.027,False,inf,3600,12,inf
S001-WAT-06,S001,饮用水,14,0.027,False,inf,3600,12,inf
S001-WAT-07,S001,饮用水,14,0.027,False,inf,3600,12,inf
S001-WAT-08,S001,饮用水,14,0.027,False,inf,3600,12,inf
S001-FOD-01,S001,应急食品,8,0.028,False,inf,7200,10,inf
S001-FOD-02,S001,应急食品,8,0.028,False,inf,7200,10,inf
S001-FOD-03,S001,应急食品,8,0.028,False,inf,7200,10,inf
S001-HYG-01,S001,生活卫生用品,6,0.035,False,inf,10800,8,inf
S001-HYG-02,S001,生活卫生用品,6,0.035,False,inf,10800,8,inf
S002-MED-01,S002,医疗物资,3,0.012,True,3600.0,3600,24,3600.0
S002-WAT-01,S002,饮用水,14,0.027,True,3600.0,3600,12,3600.0
S002-WAT-02,S002,饮用水,14,0.027,False,inf,3600,12,inf
S002-WAT-03,S002,饮用水,14,0.027,False,inf,3600,12,inf
S002-WAT-04,S002,饮用水,14,0.027,False,inf,3600,12,inf
S002-FOD-01,S002,应急食品,8,0.028,False,inf,7200,10,inf
S002-FOD-02,S002,应急食品,8,0.028,False,inf,7200,10,inf
S002-HYG-01,S002,生活卫生用品,6,0.035,False,inf,10800,8,inf
S003-MED-01,S003,医疗物资,3,0.012,True,7200.0,7200,20,7200.0
S003-WAT-01,S003,饮用水,14,0.027,True,7200.0,7200,10,7200.0
S003-WAT-02,S003,饮用水,14,0.027,False,inf,7200,10,inf
S003-WAT-03,S003,饮用水,14,0.027,False,inf,7200,10,inf
S003-WAT-04,S003,饮用水,14,0.027,False,inf,7200,10,inf
S003-FOD-01,S003,应急食品,8,0.028,False,inf,10800,8,inf
S003-FOD-02,S003,应急食品,8,0.028,False,inf,10800,8,inf
S003-HYG-01,S003,生活卫生用品,6,0.035,False,inf,14400,6,inf
S004-MED-01,S004,医疗物资,3,0.012,True,7200.0,7200,20,7200.0
S004-WAT-01,S004,饮用水,14,0.027,True,7200.0,7200,10,7200.0
S004-WAT-02,S004,饮用水,14,0.027,False,inf,7200,10,inf
S004-WAT-03,S004,饮用水,14,0.027,False,inf,7200,10,inf
S004-FOD-01,S004,应急食品,8,0.028,False,inf,10800,8,inf
S004-HYG-01,S004,生活卫生用品,6,0.035,False,inf,14400,6,inf
S005-MED-01,S005,医疗物资,3,0.012,True,10800.0,10800,16,10800.0
S005-WAT-01,S005,饮用水,14,0.027,True,10800.0,10800,8,10800.0
S005-WAT-02,S005,饮用水,14,0.027,False,inf,10800,8,inf
S005-WAT-03,S005,饮用水,14,0.027,False,inf,10800,8,inf
S005-FOD-01,S005,应急食品,8,0.028,False,inf,14400,6,inf
