origin,destination,distance,cruise_z,climb,descent,cells,dem_max
O01,S001,3053.9788435184996,273.0566101074219,145.3566101074219,89.05661010742188,138,223.05661010742188
O01,S002,7411.310455084183,308.9542541503906,181.25425415039064,89.45425415039062,325,258.9542541503906
O01,S003,7263.1792565565,561.8041381835938,434.10413818359376,223.30413818359375,340,511.80413818359375
O01,S004,7714.6964491171675,398.2391662597656,270.53916625976564,169.9391662597656,278,348.2391662597656
O01,S005,5280.606936873044,326.410888671875,198.710888671875,131.410888671875,183,276.410888671875
O01,S006,3186.208178413656,366.09783935546875,238.39783935546876,51.29783935546874,118,316.09783935546875
O01,S007,4534.460566816074,511.9731750488281,384.27317504882814,163.47317504882812,215,461.9731750488281
O01,S008,8079.033112423187,372.9093322753906,245.20933227539064,102.00933227539065,323,322.9093322753906
O01,S009,5705.144962277037,293.2289123535156,165.52891235351564,63.228912353515625,255,243.22891235351562
O01,S010,4784.49485164363,435.63653564453125,307.93653564453126,84.03653564453123,205,385.63653564453125
O01,S011,2808.074232681646,295.36175537109375,167.66175537109376,83.26175537109376,125,245.36175537109375
O01,S012,7390.491686977874,413.3009948730469,285.6009948730469,133.50099487304686,356,363.3009948730469
O01,S013,4849.242377230511,399.18182373046875,271.48182373046876,47.48182373046876,230,349.18182373046875
O01,S014,5419.60185821314,591.9473876953125,464.2473876953125,240.9473876953125,205,541.9473876953125
O01,S015,6009.38297162029,571.7992553710938,444.09925537109376,97.29925537109375,288,521.7992553710938
S001,O01,3053.9788435184996,273.0566101074219,89.05661010742188,145.3566101074219,138,223.05661010742188
S001,S002,4360.597539148686,309.2448425292969,125.24484252929688,89.74484252929688,190,259.2448425292969
S001,S003,7658.743084974101,555.9443969726562,371.94439697265625,217.44439697265625,295,505.94439697265625
S001,S004,4927.678447010787,408.7777404785156,224.77774047851562,180.4777404785156,181,358.7777404785156
S001,S005,2928.040272387301,316.13800048828125,132.13800048828125,121.13800048828125,138,266.13800048828125
S001,S006,5296.16785679757,393.9356384277344,209.93563842773438,79.13563842773436,253,343.9356384277344
S001,S007,5187.883229802976,439.17535400390625,255.17535400390625,90.67535400390625,200,389.17535400390625
S001,S008,5968.208405123096,366.78717041015625,182.78717041015625,95.88717041015627,278,316.78717041015625
S001,S009,2651.198773865906,293.2289123535156,109.22891235351562,63.228912353515625,120,243.22891235351562
S001,S010,3709.894180127748,431.0796813964844,247.07968139648438,79.47968139648435,172,381.0796813964844
S001,S011,2354.0924594173175,276.3879089355469,92.38790893554688,64.28790893554688,92,226.38790893554688
S001,S012,4697.683538665447,435.599609375,251.599609375,155.799609375,221,385.599609375
S001,S013,2898.825752847234,378.3608093261719,194.36080932617188,26.660809326171886,113,328.3608093261719
S001,S014,5196.211104521405,600.0504150390625,416.0504150390625,249.0504150390625,250,550.0504150390625
S001,S015,5500.07917347659,597.315185546875,413.315185546875,122.815185546875,243,547.315185546875
S002,O01,7411.310455084183,308.9542541503906,89.45425415039062,181.25425415039064,325,258.9542541503906
S002,S001,4360.597539148686,309.2448425292969,89.74484252929688,125.24484252929688,190,259.2448425292969
S002,S003,9776.0070147188,621.1314086914062,401.63140869140625,282.63140869140625,434,571.1314086914062
S002,S004,2248.0176981866334,333.658203125,114.158203125,105.35820312499999,104,283.658203125
S002,S005,3475.746984096525,406.79864501953125,187.29864501953125,211.79864501953125,163,356.79864501953125
S002,S006,9184.869515085078,394.2987060546875,174.7987060546875,79.49870605468749,440,344.2987060546875
S002,S007,8118.281841370918,474.7281799316406,255.22817993164062,126.22817993164062,387,424.7281799316406
S002,S008,4802.361653053604,381.8424987792969,162.34249877929688,110.9424987792969,201,331.8424987792969
S002,S009,1724.5471958647918,328.2866516113281,108.78665161132812,98.28665161132812,73,278.2866516113281
S002,S010,5917.036166062372,491.85394287109375,272.35394287109375,140.25394287109373,249,441.85394287109375
S002,S011,5781.673943782255,361.78533935546875,142.28533935546875,149.68533935546876,279,311.78533935546875
S002,S012,3071.2755268940637,408.1782531738281,188.67825317382812,128.3782531738281,148,358.1782531738281
S002,S013,4540.13286339447,377.2103271484375,157.7103271484375,25.51032714843751,190,327.2103271484375
S002,S014,7654.630751146548,507.5832214355469,288.0832214355469,156.58322143554688,327,457.5832214355469
S002,S015,7164.390108585168,643.7526245117188,424.25262451171875,169.25262451171875,316,593.7526245117188
S003,O01,7263.1792565565,561.8041381835938,223.30413818359375,434.10413818359376,340,511.80413818359375
S003,S001,7658.743084974101,555.9443969726562,217.44439697265625,371.94439697265625,295,505.94439697265625
S003,S002,9776.0070147188,621.1314086914062,282.63140869140625,401.63140869140625,434,571.1314086914062
S003,S004,8231.97829525179,724.2682495117188,385.76824951171875,495.96824951171874,387,674.2682495117188
S003,S005,6340.2474614063,583.8880615234375,245.3880615234375,388.8880615234375,274,533.8880615234375
S003,S006,4800.944759246192,662.3626708984375,323.8626708984375,347.5626708984375,231,612.3626708984375
S003,S007,2734.2616228002607,410.6993408203125,72.1993408203125,62.1993408203125,128,360.6993408203125
S003,S008,6254.068544603746,796.0787353515625,457.5787353515625,525.1787353515625,302,746.0787353515625
S003,S009,8897.537411915897,594.588134765625,256.088134765625,364.588134765625,364,544.588134765625
S003,S010,11224.341531884298,516.9641723632812,178.46417236328125,165.36417236328123,464,466.96417236328125
S003,S011,5356.618098230948,535.4223022460938,196.92230224609375,323.3223022460937,218,485.42230224609375
S003,S012,11816.962386105222,594.5889282226562,256.08892822265625,314.78892822265624,465,544.5889282226562
S003,S013,10557.567201469448,555.9443969726562,217.44439697265625,204.24439697265626,405,505.94439697265625
S003,S014,12385.714579095842,592.7295532226562,254.22955322265625,241.72955322265625,542,542.7295532226562
S003,S015,2616.366900890517,487.89886474609375,149.39886474609375,13.39886474609375,121,437.89886474609375
S004,O01,7714.6964491171675,398.2391662597656,169.9391662597656,270.53916625976564,278,348.2391662597656
S004,S001,4927.678447010787,408.7777404785156,180.4777404785156,224.77774047851562,181,358.7777404785156
S004,S002,2248.0176981866334,333.658203125,105.35820312499999,114.158203125,104,283.658203125
S004,S003,8231.97829525179,724.2682495117188,495.96824951171874,385.76824951171875,387,674.2682495117188
S004,S005,2608.141553464183,365.80657958984375,137.50657958984374,170.80657958984375,116,315.80657958984375
S004,S006,8705.954300600253,425.2806396484375,196.9806396484375,110.48063964843749,393,375.2806396484375
S004,S007,7096.41861080046,593.2369995117188,364.93699951171874,244.73699951171875,340,543.2369995117188
S004,S008,2611.596348032859,386.83349609375,158.53349609375,115.93349609375002,100,336.83349609375
S004,S009,2985.089052620417,325.2157897949219,96.91578979492186,95.21578979492188,142,275.2157897949219
S004,S010,7545.204777267781,482.957275390625,254.657275390625,131.35727539062498,350,432.957275390625
S004,S011,5403.734548085296,361.138916015625,132.838916015625,149.038916015625,232,311.138916015625
S004,S012,5285.127317623106,362.0069580078125,133.7069580078125,82.20695800781249,249,312.0069580078125
S004,S013,6196.225149188076,372.2989807128906,143.9989807128906,20.598980712890636,291,322.2989807128906
S004,S014,9293.779822341314,555.3861083984375,327.0861083984375,204.3861083984375,428,505.3861083984375
S004,S015,5648.280044723888,691.2510375976562,462.95103759765624,216.75103759765625,269,641.2510375976562
S005,O01,5280.606936873044,326.410888671875,131.410888671875,198.710888671875,183,276.410888671875
S005,S001,2928.040272387301,316.13800048828125,121.13800048828125,132.13800048828125,138,266.13800048828125
S005,S002,3475.746984096525,406.79864501953125,211.79864501953125,187.29864501953125,163,356.79864501953125
S005,S003,6340.2474614063,583.8880615234375,388.8880615234375,245.3880615234375,274,533.8880615234375
S005,S004,2608.141553464183,365.80657958984375,170.80657958984375,137.50657958984374,116,315.80657958984375
S005,S006,6107.117973375198,416.7322998046875,221.7322998046875,101.93229980468749,280,366.7322998046875
S005,S007,4687.969221971704,517.1478271484375,322.1478271484375,168.6478271484375,227,467.1478271484375
S005,S008,3040.170436044966,366.78717041015625,171.78717041015625,95.88717041015627,143,316.78717041015625
S005,S009,2649.9225367927993,363.5632019042969,168.56320190429688,133.56320190429688,99,313.5632019042969
S005,S010,6361.357075639463,466.15325927734375,271.15325927734375,114.55325927734373,307,416.15325927734375
S005,S011,2802.712805304408,347.5489196777344,152.54891967773438,135.44891967773438,119,297.5489196777344
S005,S012,5622.613282747788,363.5632019042969,168.56320190429688,83.76320190429686,206,313.5632019042969
S005,S013,5214.490976768669,374.4444580078125,179.4444580078125,22.74445800781251,248,324.4444580078125
S005,S014,7995.561184763025,602.8875122070312,407.88751220703125,251.88751220703125,385,552.8875122070312
S005,S015,3754.922176202237,618.6133422851562,423.61334228515625,144.11334228515625,156,568.6133422851562
S006,O01,3186.208178413656,366.09783935546875,51.29783935546874,238.39783935546876,118,316.09783935546875
S006,S001,5296.16785679757,393.9356384277344,79.13563842773436,209.93563842773438,253,343.9356384277344
S006,S002,9184.869515085078,394.2987060546875,79.49870605468749,174.7987060546875,440,344.2987060546875
