sortie,site,model,boxes,mass_kg,volume_m3,flight_s,operation_s,energy_kwh,soc
Q1-001,S001,C,S001-FOD-01;S001-FOD-02;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03,76,0.231,618.1690773291593,1692.1690773291593,2.917582307581756,0.6353022115522805
Q1-002,S001,C,S001-FOD-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,78,0.163,618.1690773291593,1494.1690773291593,2.9957692627227734,0.6255288421596533
Q1-003,S002,B,S002-FOD-01;S002-MED-01;S002-WAT-01,25,0.067,1186.6943000984638,1816.6943000984638,2.7134222874379024,0.3216444281405244
Q1-004,S002,C,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,56,0.144,1231.8123848152607,2041.8123848152607,5.721224670857717,0.28484691614278534
Q1-005,S003,B,S003-FOD-01;S003-MED-01;S003-WAT-01,25,0.067,1450.5233035434708,2080.523303543471,2.7799174679721714,0.30502063300695714
Q1-006,S003,C,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,56,0.144,1560.0913496046687,2370.0913496046687,5.764965115196235,0.27937936060047064
Q1-007,S004,C,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59,0.156,1425.0566924832005,2301.0566924832005,6.152932018907209,0.23088349763659888
Q1-008,S005,C,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59,0.156,1001.1905245257809,1877.1905245257808,4.222192859507031,0.4722258925616212
Q1-009,S006,C,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59,0.156,685.5538679616647,1561.5538679616648,2.597987864912184,0.675251516885977
Q1-010,S007,C,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45,0.129,1097.5664573300337,1907.5664573300337,3.4108943800040366,0.5736382024994955
Q1-011,S008,C,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45,0.129,1389.7012130854614,2199.7012130854614,5.8360117114838115,0.27049853606452356
Q1-012,S009,B,S009-FOD-01;S009-MED-01;S009-WAT-01,25,0.067,928.4417330887613,1558.4417330887613,2.0962337344261712,0.4759415663934572
Q1-013,S010,B,S010-FOD-01;S010-MED-01;S010-WAT-01,25,0.067,925.3795658311298,1555.3795658311296,1.823195698089688,0.544201075477578
Q1-014,S011,B,S011-FOD-01;S011-MED-01;S011-WAT-01,25,0.067,558.4204722351569,1188.420472235157,1.0739517654354556,0.7315120586411361
Q1-015,S012,B,S012-FOD-01;S012-MED-01;S012-WAT-01,25,0.067,1292.7403507441854,1922.7403507441854,2.752414298801739,0.3118964252995653
Q1-016,S013,B,S013-FOD-01;S013-MED-01;S013-WAT-01,25,0.067,880.4723251020891,1510.4723251020891,1.8247592723279173,0.5438101819180207
Q1-017,S014,B,S014-FOD-01;S014-MED-01;S014-WAT-01,25,0.067,1239.7564163815437,1869.7564163815437,2.1403884821074026,0.46490287947314934
Q1-018,S015,B,S015-FOD-01;S015-MED-01;S015-WAT-01,25,0.067,1198.2766374269763,1828.276637426976,2.3074528242840895,0.42313679392897763
