site,model,reserve,safe_payload_kg
S001,A,0.1,25.0
S001,B,0.1,30.0
S001,C,0.1,80.0
S002,A,0.1,25.0
S002,B,0.1,30.0
S002,C,0.1,78.5938958748459
S003,A,0.1,25.0
S003,B,0.1,30.0
S003,C,0.1,78.23137502833859
S004,A,0.1,25.0
S004,B,0.1,30.0
S004,C,0.1,74.88427573905906
S005,A,0.1,25.0
S005,B,0.1,30.0
S005,C,0.1,80.0
S006,A,0.1,25.0
S006,B,0.1,30.0
S006,C,0.1,80.0
S007,A,0.1,25.0
S007,B,0.1,30.0
S007,C,0.1,80.0
S008,A,0.1,25.0
S008,B,0.1,30.0
S008,C,0.1,71.43819365397533
S009,A,0.1,25.0
S009,B,0.1,30.0
S009,C,0.1,80.0
S010,A,0.1,25.0
S010,B,0.1,30.0
S010,C,0.1,80.0
S011,A,0.1,25.0
S011,B,0.1,30.0
S011,C,0.1,80.0
S012,A,0.1,25.0
S012,B,0.1,30.0
S012,C,0.1,78.09189214160463
S013,A,0.1,25.0
S013,B,0.1,30.0
S013,C,0.1,80.0
S014,A,0.1,25.0
S014,B,0.1,30.0
S014,C,0.1,80.0
S015,A,0.1,25.0
S015,B,0.1,30.0
S015,C,0.1,80.0
S001,A,0.15,25.0
S001,B,0.15,30.0
S001,C,0.15,80.0
S002,A,0.15,25.0
S002,B,0.15,30.0
S002,C,0.15,74.24119050023054
S003,A,0.15,25.0
S003,B,0.15,30.0
S003,C,0.15,73.75234400706871
S004,A,0.15,25.0
S004,B,0.15,30.0
S004,C,0.15,69.913345689451
S005,A,0.15,25.0
S005,B,0.15,30.0
S005,C,0.15,80.0
S006,A,0.15,25.0
S006,B,0.15,30.0
S006,C,0.15,80.0
S007,A,0.15,25.0
S007,B,0.15,30.0
S007,C,0.15,80.0
S008,A,0.15,25.0
S008,B,0.15,30.0
S008,C,0.15,65.90262291846157
S009,A,0.15,25.0
S009,B,0.15,30.0
S009,C,0.15,80.0
S010,A,0.15,25.0
S010,B,0.15,30.0
S010,C,0.15,80.0
S011,A,0.15,25.0
S011,B,0.15,30.0
S011,C,0.15,80.0
S012,A,0.15,25.0
S012,B,0.15,30.0
S012,C,0.15,73.6352649006771
S013,A,0.15,25.0
S013,B,0.15,30.0
S013,C,0.15,80.0
S014,A,0.15,25.0
S014,B,0.15,30.0
S014,C,0.15,80.0
S015,A,0.15,25.0
S015,B,0.15,30.0
S015,C,0.15,80.0
S001,A,0.2,25.0
S001,B,0.2,30.0
S001,C,0.2,80.0
S002,A,0.2,25.0
S002,B,0.2,30.0
S002,C,0.2,68.86034271749946
S003,A,0.2,25.0
S003,B,0.2,30.0
S003,C,0.2,68.20649055518754
S004,A,0.2,25.0
S004,B,0.2,30.0
S004,C,0.2,63.69695545112178
S005,A,0.2,25.0
S005,B,0.2,30.0
S005,C,0.2,80.0
S006,A,0.2,25.0
S006,B,0.2,30.0
S006,C,0.2,80.0
S007,A,0.2,25.0
S007,B,0.2,30.0
S007,C,0.2,80.0
S008,A,0.2,25.0
S008,B,0.2,28.80123362326897
S008,C,0.2,58.90436096312784
S009,A,0.2,25.0
S009,B,0.2,30.0
S009,C,0.2,80.0
S010,A,0.2,25.0
S010,B,0.2,30.0
S010,C,0.2,80.0
S011,A,0.2,25.0
S011,B,0.2,30.0
S011,C,0.2,80.0
S012,A,0.2,25.0
S012,B,0.2,30.0
S012,C,0.2,68.11719340244595
S013,A,0.2,25.0
S013,B,0.2,30.0
S013,C,0.2,80.0
S014,A,0.2,25.0
S014,B,0.2,30.0
S014,C,0.2,80.0
S015,A,0.2,25.0
S015,B,0.2,30.0
S015,C,0.2,80.0
S001,A,0.25,25.0
S001,B,0.25,30.0
S001,C,0.25,80.0
S002,A,0.25,25.0
S002,B,0.25,30.0
S002,C,0.25,62.01541844265161
S003,A,0.25,25.0
S003,B,0.25,29.03651410644266
S003,C,0.25,61.1445133651699
S004,A,0.25,25.0
S004,B,0.25,27.412114024712753
S004,C,0.25,55.66118702981275
S005,A,0.25,25.0
S005,B,0.25,30.0
S005,C,0.25,80.0
S006,A,0.25,25.0
S006,B,0.25,30.0
S006,C,0.25,80.0
S007,A,0.25,25.0
S007,B,0.25,30.0
S007,C,0.25,80.0
S008,A,0.25,24.562764613302935
S008,B,0.25,25.480502829483132
S008,C,0.25,49.70458580111865
