box,sortie,site,category,delivered_s,desired_s,hard_s,lateness_s,priority
S003-MED-01,Q2-001,S003,医疗物资,1409.2879727143438,7200,7200.0,0,20
S003-WAT-04,Q2-001,S003,饮用水,1409.2879727143438,7200,inf,0,10
S009-MED-01,Q2-002,S009,医疗物资,1125.8966159156646,10800,10800.0,0,16
S009-WAT-01,Q2-002,S009,饮用水,1125.8966159156646,10800,10800.0,0,8
S011-FOD-01,Q2-003,S011,应急食品,893.198139995606,14400,inf,0,6
S011-MED-01,Q2-003,S011,医疗物资,893.198139995606,10800,10800.0,0,16
S014-MED-01,Q2-004,S014,医疗物资,1272.7615724943244,7200,3600.0,0,22
S014-WAT-01,Q2-004,S014,饮用水,1272.7615724943244,3600,3600.0,0,12
S010-FOD-01,Q2-005,S010,应急食品,1085.2264495822315,7200,inf,0,10
S010-MED-01,Q2-005,S010,医疗物资,1085.2264495822315,3600,3600.0,0,24
S010-WAT-01,Q2-005,S010,饮用水,1085.2264495822315,3600,3600.0,0,12
S013-FOD-01,Q2-006,S013,应急食品,1062.7694958843779,7200,inf,0,10
S013-MED-01,Q2-006,S013,医疗物资,1062.7694958843779,3600,3600.0,0,24
S013-WAT-01,Q2-006,S013,饮用水,1062.7694958843779,3600,3600.0,0,12
S001-FOD-01,Q2-007,S001,应急食品,1380.2695386645796,7200,inf,0,10
S001-FOD-02,Q2-007,S001,应急食品,1380.2695386645796,7200,inf,0,10
S001-HYG-01,Q2-007,S001,生活卫生用品,1380.2695386645796,10800,inf,0,8
S001-HYG-02,Q2-007,S001,生活卫生用品,1380.2695386645796,10800,inf,0,8
S001-MED-01,Q2-007,S001,医疗物资,1380.2695386645796,3600,3600.0,0,24
S001-MED-02,Q2-007,S001,医疗物资,1380.2695386645796,3600,3600.0,0,24
S001-WAT-01,Q2-007,S001,饮用水,1380.2695386645796,3600,3600.0,0,12
S001-WAT-02,Q2-007,S001,饮用水,1380.2695386645796,3600,inf,0,12
S001-WAT-03,Q2-007,S001,饮用水,1380.2695386645796,3600,inf,0,12
S001-FOD-03,Q2-008,S001,应急食品,1182.2695386645796,7200,inf,0,10
S001-WAT-04,Q2-008,S001,饮用水,1182.2695386645796,3600,inf,0,12
S001-WAT-05,Q2-008,S001,饮用水,1182.2695386645796,3600,inf,0,12
S001-WAT-06,Q2-008,S001,饮用水,1182.2695386645796,3600,inf,0,12
S001-WAT-07,Q2-008,S001,饮用水,1182.2695386645796,3600,inf,0,12
S001-WAT-08,Q2-008,S001,饮用水,1182.2695386645796,3600,inf,0,12
S009-FOD-01,Q2-009,S009,应急食品,2318.8966159156644,14400,inf,0,6
S012-MED-01,Q2-009,S012,医疗物资,2822.70948746116,7200,3600.0,0,22
S002-FOD-01,Q2-010,S002,应急食品,2982.3161924076303,7200,inf,0,10
S002-HYG-01,Q2-010,S002,生活卫生用品,2982.3161924076303,10800,inf,0,8
S002-MED-01,Q2-010,S002,医疗物资,2982.3161924076303,3600,3600.0,0,24
S002-WAT-01,Q2-010,S002,饮用水,2982.3161924076303,3600,3600.0,0,12
S002-WAT-02,Q2-010,S002,饮用水,2982.3161924076303,3600,inf,0,12
S002-WAT-04,Q2-010,S002,饮用水,2982.3161924076303,3600,inf,0,12
S007-FOD-01,Q2-011,S007,应急食品,2636.7776994902124,7200,inf,0,10
S007-MED-01,Q2-011,S007,医疗物资,2636.7776994902124,3600,3600.0,0,24
S007-WAT-02,Q2-011,S007,饮用水,2636.7776994902124,3600,inf,0,12
S007-HYG-01,Q2-012,S007,生活卫生用品,2621.7776994902124,10800,inf,0,8
S007-WAT-01,Q2-012,S007,饮用水,2621.7776994902124,3600,3600.0,0,12
S002-FOD-02,Q2-013,S002,应急食品,2972.8089909673017,7200,inf,0,10
S002-WAT-03,Q2-013,S002,饮用水,2972.8089909673017,3600,inf,0,12
S006-FOD-01,Q2-014,S006,应急食品,2902.4219339808324,7200,inf,0,10
S006-HYG-01,Q2-014,S006,生活卫生用品,2902.4219339808324,10800,inf,0,8
S006-MED-01,Q2-014,S006,医疗物资,2902.4219339808324,3600,3600.0,0,24
S006-WAT-01,Q2-014,S006,饮用水,2902.4219339808324,3600,3600.0,0,12
S006-WAT-02,Q2-014,S006,饮用水,2902.4219339808324,3600,inf,0,12
S006-WAT-03,Q2-014,S006,饮用水,2902.4219339808324,3600,inf,0,12
S012-FOD-01,Q2-015,S012,应急食品,3379.4750368217237,7200,inf,0,10
S012-WAT-01,Q2-015,S012,饮用水,3379.4750368217237,3600,3600.0,0,12
S011-WAT-01,Q2-016,S011,饮用水,3704.1981399956057,10800,10800.0,0,8
S014-FOD-01,Q2-016,S014,应急食品,4720.690408442215,7200,inf,0,10
S008-FOD-01,Q2-017,S008,应急食品,4424.142384496832,10800,inf,0,8
S008-MED-01,Q2-017,S008,医疗物资,4424.142384496832,7200,7200.0,0,20
S008-WAT-01,Q2-017,S008,饮用水,4424.142384496832,7200,7200.0,0,10
S015-FOD-01,Q2-018,S015,应急食品,4365.5783187134875,14400,inf,0,6
S015-MED-01,Q2-018,S015,医疗物资,4365.5783187134875,7200,7200.0,0,18
S015-WAT-01,Q2-018,S015,饮用水,4365.5783187134875,10800,10800.0,0,8
S004-FOD-01,Q2-019,S004,应急食品,4838.4983462416,10800,inf,0,8
S004-HYG-01,Q2-019,S004,生活卫生用品,4838.4983462416,14400,inf,0,6
S004-MED-01,Q2-019,S004,医疗物资,4838.4983462416,7200,7200.0,0,20
S004-WAT-01,Q2-019,S004,饮用水,4838.4983462416,7200,7200.0,0,10
S004-WAT-02,Q2-019,S004,饮用水,4838.4983462416,7200,inf,0,10
S004-WAT-03,Q2-019,S004,饮用水,4838.4983462416,7200,inf,0,10
S003-FOD-02,Q2-020,S003,应急食品,5007.287972714344,10800,inf,0,8
S003-WAT-03,Q2-020,S003,饮用水,5007.287972714344,7200,inf,0,10
S005-FOD-01,Q2-021,S005,应急食品,4976.23026226289,14400,inf,0,6
S005-HYG-01,Q2-021,S005,生活卫生用品,4976.23026226289,18000,inf,0,4
S005-MED-01,Q2-021,S005,医疗物资,4976.23026226289,10800,10800.0,0,16
S005-WAT-01,Q2-021,S005,饮用水,4976.23026226289,10800,10800.0,0,8
S005-WAT-02,Q2-021,S005,饮用水,4976.23026226289,10800,inf,0,8
S005-WAT-03,Q2-021,S005,饮用水,4976.23026226289,10800,inf,0,8
S003-FOD-01,Q2-022,S003,应急食品,5102.287972714344,10800,inf,0,8
S003-WAT-01,Q2-022,S003,饮用水,5102.287972714344,7200,7200.0,0,10
S003-HYG-01,Q2-023,S003,生活卫生用品,6265.2349851050685,14400,inf,0,6
S003-WAT-02,Q2-023,S003,饮用水,6265.2349851050685,7200,inf,0,10
S008-HYG-01,Q2-024,S008,生活卫生用品,6326.142384496832,14400,inf,0,6
S008-WAT-02,Q2-024,S008,饮用水,6326.142384496832,7200,inf,0,10
