sortie,drone,model,battery,start_s,takeoff_s,route,return_s,energy_kwh,soc,mass_kg,volume_m3,boxes
Q2-001,U01,A,A-BAT-01,0,360,O01>S003>O01,2262.629278762021,2.981982455502602,0.3373372321105328,17,0.039,S003-MED-01;S003-WAT-04
Q2-002,U02,A,A-BAT-02,0,360,O01>S009>O01,1688.6132318313291,2.254822899893944,0.4989282444680124,17,0.039,S009-MED-01;S009-WAT-01
Q2-003,U03,A,A-BAT-03,0,360,O01>S011>O01,1222.0229466578785,1.1156977653985924,0.7520671632447572,11,0.04,S011-FOD-01;S011-MED-01
Q2-004,U04,A,A-BAT-04,0,360,O01>S014>O01,1990.4098116553153,2.2909774387668644,0.4908939024962523,17,0.039,S014-MED-01;S014-WAT-01
Q2-005,U05,B,B-BAT-01,0,390,O01>S010>O01,1555.3795658311296,1.823195698089688,0.544201075477578,25,0.067,S010-FOD-01;S010-MED-01;S010-WAT-01
Q2-006,U06,B,B-BAT-02,0,390,O01>S013>O01,1510.4723251020891,1.8247592723279173,0.5438101819180207,25,0.067,S013-FOD-01;S013-MED-01;S013-WAT-01
Q2-007,U07,C,C-BAT-01,0,570,O01>S001>O01,1692.1690773291593,2.917582307581756,0.6353022115522805,76,0.231,S001-FOD-01;S001-FOD-02;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03
Q2-008,U08,C,C-BAT-02,0,480,O01>S001>O01,1494.1690773291593,2.9957692627227734,0.6255288421596533,78,0.163,S001-FOD-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08
Q2-009,U03,A,A-BAT-05,1223,1583,O01>S009>S012>O01,3597.324524282884,3.0827317488039756,0.31494850026578325,11,0.04,S009-FOD-01;S012-MED-01
Q2-010,U08,C,C-BAT-03,1495,1975,O01>S002>O01,3602.812384815261,5.853071690166629,0.2683660387291714,59,0.156,S002-FOD-01;S002-HYG-01;S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-04
Q2-011,U06,B,B-BAT-03,1511,1901,O01>S007>O01,3147.275398980424,1.7800228341026476,0.5549942914743381,25,0.067,S007-FOD-01;S007-MED-01;S007-WAT-02
Q2-012,U05,B,B-BAT-04,1556,1916,O01>S007>O01,3132.275398980424,1.6564938184286104,0.5858765453928474,20,0.062,S007-HYG-01;S007-WAT-01
Q2-013,U02,A,A-BAT-06,1689,2049,O01>S002>O01,3692.7379819346033,3.018690934658349,0.32917979229814476,22,0.055,S002-FOD-02;S002-WAT-03
Q2-014,U07,C,C-BAT-04,1693,2173,O01>S006>O01,3254.5538679616648,2.597987864912184,0.675251516885977,59,0.156,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03
Q2-015,U04,A,A-BAT-03,2045,2405,O01>S012>O01,4154.090073643448,3.0584574094509085,0.32034279789979814,22,0.055,S012-FOD-01;S012-WAT-01
Q2-016,U01,A,A-BAT-02,2841,3201,O01>S011>S014>O01,5438.3386476032065,3.154325153206589,0.2990388548429803,22,0.055,S011-WAT-01;S014-FOD-01
Q2-017,U05,B,B-BAT-02,3133,3523,O01>S008>O01,5094.831435660331,2.975216526368167,0.25619586840795827,25,0.067,S008-FOD-01;S008-MED-01;S008-WAT-01
Q2-018,U06,B,B-BAT-01,3148,3538,O01>S015>O01,4976.276637426976,2.3074528242840895,0.42313679392897763,25,0.067,S015-FOD-01;S015-MED-01;S015-WAT-01
Q2-019,U07,C,C-BAT-02,3255,3735,O01>S004>O01,5556.0566924832,6.152932018907209,0.23088349763659888,59,0.156,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
Q2-020,U03,A,A-BAT-04,3598,3958,O01>S003>O01,5860.6292787620205,3.0835927685358975,0.31475716254757835,22,0.055,S003-FOD-02;S003-WAT-03
Q2-021,U08,C,C-BAT-01,3603,4083,O01>S005>O01,5480.19052452578,4.222192859507031,0.4722258925616212,59,0.156,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03
Q2-022,U02,A,A-BAT-01,3693,4053,O01>S003>O01,5955.6292787620205,3.0835927685358975,0.31475716254757835,22,0.055,S003-FOD-01;S003-WAT-01
Q2-023,U06,B,B-BAT-04,4977,5337,O01>S003>O01,6997.52330354347,2.5854849682882994,0.35362875792792514,20,0.062,S003-HYG-01;S003-WAT-02
Q2-024,U05,B,B-BAT-03,5095,5455,O01>S008>O01,6996.831435660331,2.76344125526511,0.30913968618372245,20,0.062,S008-HYG-01;S008-WAT-02
