id,area,kind,mass,volume,first,deadline,desired
S001-MED-01,S001,MED,3.0,0.012,True,3600,3600
S001-MED-02,S001,MED,3.0,0.012,False,,3600
S001-WAT-01,S001,WAT,14.0,0.027,True,3600,3600
S001-WAT-02,S001,WAT,14.0,0.027,False,,3600
S001-WAT-03,S001,WAT,14.0,0.027,False,,3600
S001-WAT-04,S001,WAT,14.0,0.027,False,,3600
S001-WAT-05,S001,WAT,14.0,0.027,False,,3600
S001-WAT-06,S001,WAT,14.0,0.027,False,,3600
S001-WAT-07,S001,WAT,14.0,0.027,False,,3600
S001-WAT-08,S001,WAT,14.0,0.027,False,,3600
S001-FOD-01,S001,FOD,8.0,0.028,False,,7200
S001-FOD-02,S001,FOD,8.0,0.028,False,,7200
S001-FOD-03,S001,FOD,8.0,0.028,False,,7200
S001-HYG-01,S001,HYG,6.0,0.035,False,,10800
S001-HYG-02,S001,HYG,6.0,0.035,False,,10800
S002-MED-01,S002,MED,3.0,0.012,True,3600,3600
S002-WAT-01,S002,WAT,14.0,0.027,True,3600,3600
S002-WAT-02,S002,WAT,14.0,0.027,False,,3600
S002-WAT-03,S002,WAT,14.0,0.027,False,,3600
S002-WAT-04,S002,WAT,14.0,0.027,False,,3600
S002-FOD-01,S002,FOD,8.0,0.028,False,,7200
S002-FOD-02,S002,FOD,8.0,0.028,False,,7200
S002-HYG-01,S002,HYG,6.0,0.035,False,,10800
S003-MED-01,S003,MED,3.0,0.012,True,7200,7200
S003-WAT-01,S003,WAT,14.0,0.027,True,7200,7200
S003-WAT-02,S003,WAT,14.0,0.027,False,,7200
S003-WAT-03,S003,WAT,14.0,0.027,False,,7200
S003-WAT-04,S003,WAT,14.0,0.027,False,,7200
S003-FOD-01,S003,FOD,8.0,0.028,False,,10800
S003-FOD-02,S003,FOD,8.0,0.028,False,,10800
S003-HYG-01,S003,HYG,6.0,0.035,False,,14400
S004-MED-01,S004,MED,3.0,0.012,True,7200,7200
S004-WAT-01,S004,WAT,14.0,0.027,True,7200,7200
S004-WAT-02,S004,WAT,14.0,0.027,False,,7200
S004-WAT-03,S004,WAT,14.0,0.027,False,,7200
S004-FOD-01,S004,FOD,8.0,0.028,False,,10800
S004-HYG-01,S004,HYG,6.0,0.035,False,,14400
S005-MED-01,S005,MED,3.0,0.012,True,10800,10800
S005-WAT-01,S005,WAT,14.0,0.027,True,10800,10800
S005-WAT-02,S005,WAT,14.0,0.027,False,,10800
S005-WAT-03,S005,WAT,14.0,0.027,False,,10800
S005-FOD-01,S005,FOD,8.0,0.028,False,,14400
S005-HYG-01,S005,HYG,6.0,0.035,False,,18000
S006-MED-01,S006,MED,3.0,0.012,True,3600,3600
S006-WAT-01,S006,WAT,14.0,0.027,True,3600,3600
S006-WAT-02,S006,WAT,14.0,0.027,False,,3600
S006-WAT-03,S006,WAT,14.0,0.027,False,,3600
S006-FOD-01,S006,FOD,8.0,0.028,False,,7200
S006-HYG-01,S006,HYG,6.0,0.035,False,,10800
S007-MED-01,S007,MED,3.0,0.012,True,3600,3600
S007-WAT-01,S007,WAT,14.0,0.027,True,3600,3600
S007-WAT-02,S007,WAT,14.0,0.027,False,,3600
S007-FOD-01,S007,FOD,8.0,0.028,False,,7200
S007-HYG-01,S007,HYG,6.0,0.035,False,,10800
S008-MED-01,S008,MED,3.0,0.012,True,7200,7200
S008-WAT-01,S008,WAT,14.0,0.027,True,7200,7200
S008-WAT-02,S008,WAT,14.0,0.027,False,,7200
S008-FOD-01,S008,FOD,8.0,0.028,False,,10800
S008-HYG-01,S008,HYG,6.0,0.035,False,,14400
S009-MED-01,S009,MED,3.0,0.012,True,10800,10800
S009-WAT-01,S009,WAT,14.0,0.027,True,10800,10800
S009-FOD-01,S009,FOD,8.0,0.028,False,,14400
S010-MED-01,S010,MED,3.0,0.012,True,3600,3600
S010-WAT-01,S010,WAT,14.0,0.027,True,3600,3600
S010-FOD-01,S010,FOD,8.0,0.028,False,,7200
S011-MED-01,S011,MED,3.0,0.012,True,10800,10800
S011-WAT-01,S011,WAT,14.0,0.027,True,10800,10800
S011-FOD-01,S011,FOD,8.0,0.028,False,,14400
S012-MED-01,S012,MED,3.0,0.012,True,3600,7200
S012-WAT-01,S012,WAT,14.0,0.027,True,3600,3600
S012-FOD-01,S012,FOD,8.0,0.028,False,,7200
S013-MED-01,S013,MED,3.0,0.012,True,3600,3600
S013-WAT-01,S013,WAT,14.0,0.027,True,3600,3600
S013-FOD-01,S013,FOD,8.0,0.028,False,,7200
S014-MED-01,S014,MED,3.0,0.012,True,3600,7200
S014-WAT-01,S014,WAT,14.0,0.027,True,3600,3600
S014-FOD-01,S014,FOD,8.0,0.028,False,,7200
S015-MED-01,S015,MED,3.0,0.012,True,7200,7200
S015-WAT-01,S015,WAT,14.0,0.027,True,10800,10800
S015-FOD-01,S015,FOD,8.0,0.028,False,,14400
