area,distance_m,max_terrain_m,cruise_m,outbound_up_m,return_up_m,cells,fine_sample_max_m,local_distance_m,relative_distance_difference
S001,3053.9788435184996,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136,223.05661010742188,3053.9788498734933,2.0808898997323047e-09
S002,7411.310455084183,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,323,258.9542541503906,7411.310533636502,1.0598978448951296e-08
S003,7263.1792565565,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,338,511.80413818359375,7263.179407310638,2.075594350330382e-08
S004,7714.6964491171675,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,276,348.2391662597656,7714.696449438384,4.1636926402155847e-11
S005,5280.606936873044,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181,276.410888671875,5280.606935319285,2.942387000605085e-10
S006,3186.208178413656,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,116,316.09783935546875,3186.2081844118416,1.8825467246404036e-09
S007,4534.460566816074,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,213,461.9731750488281,4534.460604757263,8.367299465165053e-09
S008,8079.033112423187,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539062,321,322.9093322753906,8079.033147823332,4.381730395170197e-09
S009,5705.144962277037,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,253,243.22891235351562,5705.145004228565,7.353279964635962e-09
S010,4784.49485164363,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,203,385.63653564453125,4784.49487974718,5.873880287315037e-09
S011,2808.074232681646,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,123,245.36175537109375,2808.074236967117,1.5261244780409096e-09
S012,7390.491686977874,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,354,363.3009948730469,7390.491866657152,2.431222240926731e-08
S013,4849.242377230511,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,228,349.18182373046875,4849.242423912846,9.6267274838674e-09
S014,5419.60185821314,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,203,541.9473876953125,5419.601888460408,5.581086748714303e-09
S015,6009.38297162029,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,286,521.7992553710938,6009.38306280972,1.5174508061902866e-08
