rho,feasible,N,E,T
0.0,True,18,59.13129602205529,32776.015748916165
0.01,True,18,59.13129602205529,32776.015748916165
0.02,True,18,59.13129602205529,32776.015748916165
0.03,True,18,59.13129602205529,32776.015748916165
0.04,True,18,59.13129602205529,32776.015748916165
0.05,True,18,59.13129602205529,32776.015748916165
0.06,True,18,59.13129602205529,32776.015748916165
0.07,True,18,59.13129602205529,32776.015748916165
0.08,True,18,59.13129602205529,32776.015748916165
0.09,True,18,59.13129602205529,32776.015748916165
0.1,True,18,59.13129602205529,32776.015748916165
0.11,True,18,59.13129602205529,32776.015748916165
0.12,True,18,59.13129602205529,32776.015748916165
0.13,True,18,59.13129602205529,32776.015748916165
0.14,True,18,59.13129602205529,32776.015748916165
0.15,True,18,59.13129602205529,32776.015748916165
0.16,True,18,59.13129602205529,32776.015748916165
0.17,True,18,59.13129602205529,32776.015748916165
0.18,True,18,59.13129602205529,32776.015748916165
0.19,True,18,59.13129602205529,32776.015748916165
0.2,True,18,59.13129602205529,32776.015748916165
0.21,True,18,59.13129602205529,32776.015748916165
0.22,True,18,59.13129602205529,32776.015748916165
0.23,True,18,59.13129602205529,32776.015748916165
0.24,True,19,61.07338737609084,34565.659385979445
0.25,True,19,61.07338737609084,34565.659385979445
0.26,True,19,61.07338737609084,34565.659385979445
0.27,True,19,61.07338737609084,34565.659385979445
0.28,True,20,65.24266249384004,36493.05886770097
0.29,True,20,67.22758968352723,36586.17695241777
0.3,True,20,67.22758968352723,36586.17695241777
0.31,True,20,67.22758968352723,36586.17695241777
0.32,True,20,69.42361695043154,36704.027284042124
0.33,True,20,74.29329981795671,36919.31011688717
0.34,True,22,76.15391572955697,40489.79507866585
0.35,True,25,75.60758952635231,45383.56353392607
0.36,False,,,
0.37,False,,,
0.38,False,,,
0.39,False,,,
0.4,False,,,
0.41,False,,,
0.42,False,,,
0.43,False,,,
0.44,False,,,
0.45,False,,,
0.46,False,,,
0.47,False,,,
0.48,False,,,
0.49,False,,,
0.5,False,,,
