rho,area,model,max_safe_kg
0.0,S001,A,25.0
0.0,S001,B,30.0
0.0,S001,C,80.0
0.0,S002,A,25.0
0.0,S002,B,30.0
0.0,S002,C,80.0
0.0,S003,A,25.0
0.0,S003,B,30.0
0.0,S003,C,80.0
0.0,S004,A,25.0
0.0,S004,B,30.0
0.0,S004,C,80.0
0.0,S005,A,25.0
0.0,S005,B,30.0
0.0,S005,C,80.0
0.0,S006,A,25.0
0.0,S006,B,30.0
0.0,S006,C,80.0
0.0,S007,A,25.0
0.0,S007,B,30.0
0.0,S007,C,80.0
0.0,S008,A,25.0
0.0,S008,B,30.0
0.0,S008,C,79.6776049118489
0.0,S009,A,25.0
0.0,S009,B,30.0
0.0,S009,C,80.0
0.0,S010,A,25.0
0.0,S010,B,30.0
0.0,S010,C,80.0
0.0,S011,A,25.0
0.0,S011,B,30.0
0.0,S011,C,80.0
0.0,S012,A,25.0
0.0,S012,B,30.0
0.0,S012,C,80.0
0.0,S013,A,25.0
0.0,S013,B,30.0
0.0,S013,C,80.0
0.0,S014,A,25.0
0.0,S014,B,30.0
0.0,S014,C,80.0
0.0,S015,A,25.0
0.0,S015,B,30.0
0.0,S015,C,80.0
0.01,S001,A,25.0
0.01,S001,B,30.0
0.01,S001,C,80.0
0.01,S002,A,25.0
0.01,S002,B,30.0
0.01,S002,C,80.0
0.01,S003,A,25.0
0.01,S003,B,30.0
0.01,S003,C,80.0
0.01,S004,A,25.0
0.01,S004,B,30.0
0.01,S004,C,80.0
0.01,S005,A,25.0
0.01,S005,B,30.0
0.01,S005,C,80.0
0.01,S006,A,25.0
0.01,S006,B,30.0
0.01,S006,C,80.0
0.01,S007,A,25.0
0.01,S007,B,30.0
0.01,S007,C,80.0
0.01,S008,A,25.0
0.01,S008,B,30.0
0.01,S008,C,78.98134763352573
0.01,S009,A,25.0
0.01,S009,B,30.0
0.01,S009,C,80.0
0.01,S010,A,25.0
0.01,S010,B,30.0
0.01,S010,C,80.0
0.01,S011,A,25.0
0.01,S011,B,30.0
0.01,S011,C,80.0
0.01,S012,A,25.0
0.01,S012,B,30.0
0.01,S012,C,80.0
0.01,S013,A,25.0
0.01,S013,B,30.0
0.01,S013,C,80.0
0.01,S014,A,25.0
0.01,S014,B,30.0
0.01,S014,C,80.0
0.01,S015,A,25.0
0.01,S015,B,30.0
0.01,S015,C,80.0
0.02,S001,A,25.0
0.02,S001,B,30.0
0.02,S001,C,80.0
0.02,S002,A,25.0
0.02,S002,B,30.0
0.02,S002,C,80.0
0.02,S003,A,25.0
0.02,S003,B,30.0
0.02,S003,C,80.0
0.02,S004,A,25.0
0.02,S004,B,30.0
0.02,S004,C,80.0
0.02,S005,A,25.0
0.02,S005,B,30.0
0.02,S005,C,80.0
0.02,S006,A,25.0
0.02,S006,B,30.0
0.02,S006,C,80.0
0.02,S007,A,25.0
0.02,S007,B,30.0
0.02,S007,C,80.0
0.02,S008,A,25.0
0.02,S008,B,30.0
0.02,S008,C,78.26078017242253
0.02,S009,A,25.0
0.02,S009,B,30.0
0.02,S009,C,80.0
0.02,S010,A,25.0
0.02,S010,B,30.0
0.02,S010,C,80.0
0.02,S011,A,25.0
0.02,S011,B,30.0
0.02,S011,C,80.0
0.02,S012,A,25.0
0.02,S012,B,30.0
0.02,S012,C,80.0
0.02,S013,A,25.0
0.02,S013,B,30.0
0.02,S013,C,80.0
0.02,S014,A,25.0
0.02,S014,B,30.0
0.02,S014,C,80.0
0.02,S015,A,25.0
0.02,S015,B,30.0
0.02,S015,C,80.0
0.03,S001,A,25.0
0.03,S001,B,30.0
0.03,S001,C,80.0
0.03,S002,A,25.0
0.03,S002,B,30.0
0.03,S002,C,80.0
0.03,S003,A,25.0
0.03,S003,B,30.0
0.03,S003,C,80.0
0.03,S004,A,25.0
0.03,S004,B,30.0
0.03,S004,C,80.0
0.03,S005,A,25.0
0.03,S005,B,30.0
0.03,S005,C,80.0
0.03,S006,A,25.0
0.03,S006,B,30.0
0.03,S006,C,80.0
0.03,S007,A,25.0
0.03,S007,B,30.0
0.03,S007,C,80.0
0.03,S008,A,25.0
0.03,S008,B,30.0
0.03,S008,C,77.51457864418626
0.03,S009,A,25.0
0.03,S009,B,30.0
0.03,S009,C,80.0
0.03,S010,A,25.0
0.03,S010,B,30.0
0.03,S010,C,80.0
0.03,S011,A,25.0
0.03,S011,B,30.0
0.03,S011,C,80.0
0.03,S012,A,25.0
0.03,S012,B,30.0
0.03,S012,C,80.0
0.03,S013,A,25.0
0.03,S013,B,30.0
0.03,S013,C,80.0
0.03,S014,A,25.0
0.03,S014,B,30.0
0.03,S014,C,80.0
0.03,S015,A,25.0
0.03,S015,B,30.0
0.03,S015,C,80.0
0.04,S001,A,25.0
0.04,S001,B,30.0
0.04,S001,C,80.0
0.04,S002,A,25.0
0.04,S002,B,30.0
0.04,S002,C,80.0
0.04,S003,A,25.0
0.04,S003,B,30.0
0.04,S003,C,80.0
0.04,S004,A,25.0
0.04,S004,B,30.0
0.04,S004,C,79.68641821295023
0.04,S005,A,25.0
0.04,S005,B,30.0
0.04,S005,C,80.0
0.04,S006,A,25.0
0.04,S006,B,30.0
0.04,S006,C,80.0
0.04,S007,A,25.0
0.04,S007,B,30.0
0.04,S007,C,80.0
0.04,S008,A,25.0
0.04,S008,B,30.0
0.04,S008,C,76.74131841398776
0.04,S009,A,25.0
0.04,S009,B,30.0
0.04,S009,C,80.0
0.04,S010,A,25.0
0.04,S010,B,30.0
0.04,S010,C,80.0
0.04,S011,A,25.0
0.04,S011,B,30.0
0.04,S011,C,80.0
0.04,S012,A,25.0
0.04,S012,B,30.0
0.04,S012,C,80.0
0.04,S013,A,25.0
0.04,S013,B,30.0
0.04,S013,C,80.0
0.04,S014,A,25.0
0.04,S014,B,30.0
0.04,S014,C,80.0
0.04,S015,A,25.0
0.04,S015,B,30.0
0.04,S015,C,80.0
0.05,S001,A,25.0
0.05,S001,B,30.0
0.05,S001,C,80.0
0.05,S002,A,25.0
0.05,S002,B,30.0
0.05,S002,C,80.0
0.05,S003,A,25.0
0.05,S003,B,30.0
0.05,S003,C,80.0
0.05,S004,A,25.0
0.05,S004,B,30.0
0.05,S004,C,78.95793893374503
0.05,S005,A,25.0
0.05,S005,B,30.0
0.05,S005,C,80.0
0.05,S006,A,25.0
0.05,S006,B,30.0
0.05,S006,C,80.0
0.05,S007,A,25.0
0.05,S007,B,30.0
0.05,S007,C,80.0
0.05,S008,A,25.0
0.05,S008,B,30.0
0.05,S008,C,75.9394639544189
0.05,S009,A,25.0
0.05,S009,B,30.0
0.05,S009,C,80.0
0.05,S010,A,25.0
0.05,S010,B,30.0
0.05,S010,C,80.0
0.05,S011,A,25.0
0.05,S011,B,30.0
0.05,S011,C,80.0
0.05,S012,A,25.0
0.05,S012,B,30.0
0.05,S012,C,80.0
0.05,S013,A,25.0
0.05,S013,B,30.0
0.05,S013,C,80.0
0.05,S014,A,25.0
0.05,S014,B,30.0
0.05,S014,C,80.0
0.05,S015,A,25.0
0.05,S015,B,30.0
0.05,S015,C,80.0
0.06,S001,A,25.0
0.06,S001,B,30.0
0.06,S001,C,80.0
0.06,S002,A,25.0
0.06,S002,B,30.0
0.06,S002,C,80.0
0.06,S003,A,25.0
0.06,S003,B,30.0
0.06,S003,C,80.0
0.06,S004,A,25.0
