box,sortie,area,delivery_s,desired_s,hard_due_s
S001-MED-01,Q2-001,S001,917.6734374036756,3600.0,3600.0
S001-MED-02,Q2-001,S001,917.6734374036756,3600.0,3600.0
S001-WAT-01,Q2-001,S001,917.6734374036756,3600.0,3600.0
S006-MED-01,Q2-002,S006,882.3989611547998,3600.0,3600.0
S006-WAT-01,Q2-002,S006,882.3989611547998,3600.0,3600.0
S013-MED-01,Q2-003,S013,1083.5902060617477,3600.0,3600.0
S013-WAT-01,Q2-003,S013,1083.5902060617477,3600.0,3600.0
S010-MED-01,Q2-004,S010,1104.9680327849212,3600.0,3600.0
S010-WAT-01,Q2-004,S010,1104.9680327849212,3600.0,3600.0
S007-MED-01,Q2-005,S007,1141.352045432246,3600.0,3600.0
S007-WAT-01,Q2-005,S007,1141.352045432246,3600.0,3600.0
S014-WAT-01,Q2-006,S014,1272.7615750149298,3600.0,3600.0
S014-MED-01,Q2-006,S014,1272.7615750149298,7200.0,3600.0
S002-MED-01,Q2-007,S002,1223.3161976444517,3600.0,3600.0
S002-WAT-01,Q2-007,S002,1223.3161976444517,3600.0,3600.0
S012-WAT-01,Q2-008,S012,1285.6903531628857,3600.0,3600.0
S012-MED-01,Q2-008,S012,1285.6903531628857,7200.0,3600.0
S015-MED-01,Q2-009,S015,2364.8495804357162,7200.0,7200.0
S015-WAT-01,Q2-009,S015,2364.8495804357162,10800.0,10800.0
S004-MED-01,Q2-010,S004,2451.5686933604047,7200.0,7200.0
S004-WAT-01,Q2-010,S004,2451.5686933604047,7200.0,7200.0
S008-MED-01,Q2-011,S008,2977.906684777393,7200.0,7200.0
S008-WAT-01,Q2-011,S008,2977.906684777393,7200.0,7200.0
S003-MED-01,Q2-012,S003,3064.1507175136976,7200.0,7200.0
S003-WAT-01,Q2-012,S003,3064.1507175136976,7200.0,7200.0
S011-MED-01,Q2-013,S011,2751.712924254029,10800.0,10800.0
S011-WAT-01,Q2-013,S011,2751.712924254029,10800.0,10800.0
S005-MED-01,Q2-014,S005,3083.820968485078,10800.0,10800.0
S005-WAT-01,Q2-014,S005,3083.820968485078,10800.0,10800.0
S009-MED-01,Q2-015,S009,3803.641228878633,10800.0,10800.0
S009-WAT-01,Q2-015,S009,3803.641228878633,10800.0,10800.0
S001-WAT-08,Q2-016,S001,3628.1730549619197,3600.0,
S001-FOD-01,Q2-016,S001,3628.1730549619197,7200.0,
S001-WAT-04,Q2-017,S001,3833.2213426321755,3600.0,
S001-WAT-05,Q2-017,S001,3833.2213426321755,3600.0,
S001-WAT-06,Q2-018,S001,3988.4172826504678,3600.0,
S001-WAT-07,Q2-018,S001,3988.4172826504678,3600.0,
S007-WAT-02,Q2-019,S007,4924.598336196869,3600.0,
S007-FOD-01,Q2-019,S007,4924.598336196869,7200.0,
S002-WAT-04,Q2-020,S002,5201.301033637548,3600.0,
S002-FOD-01,Q2-020,S002,5201.301033637548,7200.0,
S006-FOD-01,Q2-021,S006,4914.731332596846,7200.0,
S006-HYG-01,Q2-021,S006,4914.731332596846,10800.0,
S001-WAT-02,Q2-022,S001,5027.241481137551,3600.0,
S001-WAT-03,Q2-022,S001,5027.241481137551,3600.0,
S001-FOD-02,Q2-023,S001,5397.22747614632,7200.0,
S001-FOD-03,Q2-023,S001,5397.22747614632,7200.0,
S013-FOD-01,Q2-024,S013,5864.545205122273,7200.0,
S006-WAT-02,Q2-025,S006,5796.3025103175005,3600.0,
S006-WAT-03,Q2-025,S006,5796.3025103175005,3600.0,
S010-FOD-01,Q2-026,S010,6252.632002316859,7200.0,
S014-FOD-01,Q2-027,S014,6480.342708467366,7200.0,
S005-WAT-02,Q2-028,S005,6462.065258839251,10800.0,
S005-WAT-03,Q2-028,S005,6462.065258839251,10800.0,
S008-WAT-02,Q2-029,S008,6876.46332094968,7200.0,
S008-FOD-01,Q2-029,S008,6876.46332094968,10800.0,
S002-FOD-02,Q2-030,S002,6848.941402169382,7200.0,
S002-HYG-01,Q2-030,S002,6848.941402169382,10800.0,
S007-HYG-01,Q2-031,S007,7002.582076583123,10800.0,
S001-HYG-01,Q2-032,S001,6978.84824220931,10800.0,
S001-HYG-02,Q2-032,S001,6978.84824220931,10800.0,
S003-WAT-04,Q2-033,S003,7989.335951975892,7200.0,
S003-FOD-01,Q2-033,S003,7989.335951975892,10800.0,
S011-FOD-01,Q2-034,S011,7807.926049963685,14400.0,
S005-FOD-01,Q2-035,S005,8279.38241211648,14400.0,
S005-HYG-01,Q2-035,S005,8279.38241211648,18000.0,
S009-FOD-01,Q2-036,S009,8241.085882287467,14400.0,
S015-FOD-01,Q2-037,S015,8491.031019313437,14400.0,
S004-FOD-01,Q2-038,S004,8687.817042675155,10800.0,
S004-HYG-01,Q2-038,S004,8687.817042675155,14400.0,
S012-FOD-01,Q2-039,S012,8863.129173810365,7200.0,
S008-HYG-01,Q2-040,S008,9147.946099167075,14400.0,
S003-FOD-02,Q2-041,S003,9996.951746783961,10800.0,
S003-HYG-01,Q2-041,S003,9996.951746783961,14400.0,
S004-WAT-02,Q2-042,S004,10083.53499999557,7200.0,
S004-WAT-03,Q2-042,S004,10083.53499999557,7200.0,
S002-WAT-02,Q2-043,S002,10192.225939225335,3600.0,
S002-WAT-03,Q2-043,S002,10192.225939225335,3600.0,
S003-WAT-02,Q2-044,S003,10655.227189716887,7200.0,
S003-WAT-03,Q2-044,S003,10655.227189716887,7200.0,
