sortie,drone,model,battery,start_s,end_s,areas,boxes,energy_kwh,return_soc_pct
Q2-001,U05,B,B01,0.0,1209.1002081406846,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1.0739809742711182,73.15047564322205
Q2-002,U06,B,B02,0.0,1207.271255642933,S006,S006-MED-01;S006-WAT-01,1.0987798347576758,72.53050413105811
Q2-003,U01,A,A01,0.0,1612.1137454568286,S013,S013-MED-01;S013-WAT-01,1.9579529908044666,56.489933537678525
Q2-004,U03,A,A02,0.0,1654.8627322365091,S010,S010-MED-01;S010-WAT-01,1.9548596693902267,56.55867401355052
Q2-005,U04,A,A03,0.0,1727.424090864492,S007,S007-MED-01;S007-WAT-01,1.9053430229442085,57.65904393457315
Q2-006,U02,A,A04,0.0,1990.4098166965264,S014,S014-MED-01;S014-WAT-01,2.290977450343601,49.08938999236443
Q2-007,U08,C,C01,0.0,1843.8123952889034,S002,S002-MED-01;S002-WAT-01,4.7710658569620845,40.36167678797394
Q2-008,U07,C,C02,0.0,1974.5907063257714,S012,S012-MED-01;S012-WAT-01,4.803869178056123,39.95163527429846
Q2-009,U06,B,B03,1207.271255642933,2975.5479052285,S015,S015-MED-01;S015-WAT-01,2.0707833850326423,48.23041537418394
Q2-010,U05,B,B04,1209.1002081406846,3130.7438452467923,S004,S004-MED-01;S004-WAT-01,2.576522393652098,35.58694015869756
Q2-011,U01,A,A05,1612.1137454568286,3783.246290764623,S008,S008-MED-01;S008-WAT-01,3.199907349579167,28.89094778712962
Q2-012,U03,A,A06,1654.8627322365091,3917.49203612422,S003,S003-MED-01;S003-WAT-01,2.9819825132017286,33.73372192885048
Q2-013,U08,C,C03,1843.8123952889034,3056.053453219154,S011,S011-MED-01;S011-WAT-01,1.853327276490564,76.83340904386795
Q2-014,U07,C,C04,1974.5907063257714,3587.781230644385,S005,S005-MED-01;S005-WAT-01,3.4401985207466845,56.997518490666444
Q2-015,U02,A,A01,2677.7446094670076,4366.357848290258,S009,S009-MED-01;S009-WAT-01,2.2548229159503292,49.89282408999268
