battery,sortie,model,start_s,return_s,soc_start,soc_return,charge_start_s,charge_end_s,ready_reserved_s,charge_duration_s
A-BAT-01,Q2-001,A,0,2262.629278762021,1,0.3373372321105328,2262.629278762021,3624.0908770183282,3625,1361.4615982563073
A-BAT-02,Q2-002,A,0,1688.6132318313291,1,0.4989282444680124,1688.6132318313291,2840.006514022913,2841,1151.393282191584
A-BAT-03,Q2-003,A,0,1222.0229466578785,1,0.7520671632447572,1222.0229466578785,2044.335634439694,2045,822.3126877818156
A-BAT-04,Q2-004,A,0,1990.4098116553153,1,0.4908939024962523,1990.4098116553153,3152.247738410187,3153,1161.837926754872
B-BAT-01,Q2-005,B,0,1555.3795658311296,1,0.544201075477578,1555.3795658311296,3012.0977016699944,3013,1456.7181358388646
B-BAT-02,Q2-006,B,0,1510.4723251020891,1,0.5438101819180207,1510.4723251020891,2967.8680097775205,2968,1457.395684675431
C-BAT-01,Q2-007,C,0,1692.1690773291593,1,0.6353022115522805,1692.1690773291593,3315.680952299218,3316,1623.511874970059
C-BAT-02,Q2-008,C,0,1561.5538679616648,1,0.675251516885977,1561.5538679616648,3098.5089147087147,3099,1536.95504674705
A-BAT-05,Q2-009,A,1223,3597.324524282884,1,0.31494850026578325,3597.324524282884,4987.891473937366,4988,1390.5669496544817
B-BAT-03,Q2-010,B,1511,3147.275398980424,1,0.5549942914743381,3147.275398980424,4585.285293758238,4586,1438.009894777814
B-BAT-04,Q2-011,B,1556,3132.275398980424,1,0.5858765453928474,3132.275398980424,4516.756053632822,4517,1384.4806546523978
C-BAT-03,Q2-012,C,1562,3669.812384815261,1,0.2683660387291714,3669.812384815261,6088.352634235389,6089,2418.5402494201285
A-BAT-06,Q2-013,A,1689,3692.7379819346033,1,0.32917979229814476,3692.7379819346033,5064.8042519470155,5065,1372.066270012412
C-BAT-04,Q2-014,C,1693,3187.1690773291593,1,0.6255288421596533,3187.1690773291593,4831.856585983243,4832,1644.6875086540845
A-BAT-03,Q2-015,A,2045,4154.090073643448,1,0.32034279789979814,4154.090073643448,5537.64443637371,5538,1383.5543627302625
A-BAT-02,Q2-016,A,2841,5103.6292787620205,1,0.31475716254757835,5103.6292787620205,6494.444967450168,6495,1390.8156886881482
B-BAT-02,Q2-017,B,3133,5094.831435660331,1,0.25619586840795827,5094.831435660331,7050.758597086537,7051,1955.9271614262054
B-BAT-01,Q2-018,B,3148,4976.276637426976,1,0.42313679392897763,4976.276637426976,6642.839527950081,6643,1666.5628905231054
C-BAT-02,Q2-019,C,3188,5489.0566924832,1,0.23088349763659888,5489.0566924832,7988.809114270569,7989,2499.7524217873693
A-BAT-04,Q2-020,A,3598,6195.3386476032065,1,0.2990388548429803,6195.3386476032065,7606.588136307332,7607,1411.2494887041255
C-BAT-01,Q2-021,C,3670,5547.19052452578,1,0.4722258925616212,5547.19052452578,7524.034423975601,7525,1976.8438994498208
A-BAT-01,Q2-022,A,3693,5955.6292787620205,1,0.31475716254757835,5955.6292787620205,7346.444967450168,7347,1390.8156886881482
B-BAT-04,Q2-023,B,4977,6997.52330354347,1,0.35362875792792514,6997.52330354347,8784.566789801735,8785,1787.0434862582633
B-BAT-03,Q2-024,B,5095,6996.831435660331,1,0.30913968618372245,6996.831435660331,8860.98931294188,8861,1864.1578772815476
