box,area,kind,sortie,delivery_s,hard_due_s,desired_s,priority,lateness_s
S003-MED-01,S003,MED,Q2-001,1409.2879852771887,7200.0,7200.0,20.0,0.0
S003-WAT-04,S003,WAT,Q2-001,1409.2879852771887,,7200.0,10.0,0.0
S009-MED-01,S009,MED,Q2-002,1125.8966194116251,10800.0,10800.0,16.0,0.0
S009-WAT-01,S009,WAT,Q2-002,1125.8966194116251,10800.0,10800.0,8.0,0.0
S011-FOD-01,S011,FOD,Q2-003,893.1981403527285,,14400.0,6.0,0.0
S011-MED-01,S011,MED,Q2-003,893.1981403527285,10800.0,10800.0,16.0,0.0
S014-MED-01,S014,MED,Q2-004,1272.7615750149298,3600.0,7200.0,22.0,0.0
S014-WAT-01,S014,WAT,Q2-004,1272.7615750149298,3600.0,3600.0,12.0,0.0
S010-FOD-01,S010,FOD,Q2-005,1085.2264514558015,,7200.0,10.0,0.0
S010-MED-01,S010,MED,Q2-005,1085.2264514558015,3600.0,3600.0,24.0,0.0
S010-WAT-01,S010,WAT,Q2-005,1085.2264514558015,3600.0,3600.0,12.0,0.0
S013-FOD-01,S013,FOD,Q2-006,1062.7694989965335,,7200.0,10.0,0.0
S013-MED-01,S013,MED,Q2-006,1062.7694989965335,3600.0,3600.0,24.0,0.0
S013-WAT-01,S013,WAT,Q2-006,1062.7694989965335,3600.0,3600.0,12.0,0.0
S001-FOD-01,S001,FOD,Q2-007,1380.269539088246,,7200.0,10.0,0.0
S001-FOD-02,S001,FOD,Q2-007,1380.269539088246,,7200.0,10.0,0.0
S001-HYG-01,S001,HYG,Q2-007,1380.269539088246,,10800.0,8.0,0.0
S001-HYG-02,S001,HYG,Q2-007,1380.269539088246,,10800.0,8.0,0.0
S001-MED-01,S001,MED,Q2-007,1380.269539088246,3600.0,3600.0,24.0,0.0
S001-MED-02,S001,MED,Q2-007,1380.269539088246,3600.0,3600.0,24.0,0.0
S001-WAT-01,S001,WAT,Q2-007,1380.269539088246,3600.0,3600.0,12.0,0.0
S001-WAT-02,S001,WAT,Q2-007,1380.269539088246,,3600.0,12.0,0.0
S001-WAT-03,S001,WAT,Q2-007,1380.269539088246,,3600.0,12.0,0.0
S006-FOD-01,S006,FOD,Q2-008,1209.4219343807113,,7200.0,10.0,0.0
S006-HYG-01,S006,HYG,Q2-008,1209.4219343807113,,10800.0,8.0,0.0
S006-MED-01,S006,MED,Q2-008,1209.4219343807113,3600.0,3600.0,24.0,0.0
S006-WAT-01,S006,WAT,Q2-008,1209.4219343807113,3600.0,3600.0,12.0,0.0
S006-WAT-02,S006,WAT,Q2-008,1209.4219343807113,,3600.0,12.0,0.0
S006-WAT-03,S006,WAT,Q2-008,1209.4219343807113,,3600.0,12.0,0.0
S001-FOD-03,S001,FOD,Q2-014,2874.4486172647375,,7200.0,10.0,0.0
S001-WAT-04,S001,WAT,Q2-014,2874.4486172647375,,3600.0,12.0,0.0
S001-WAT-05,S001,WAT,Q2-014,2874.4486172647375,,3600.0,12.0,0.0
S001-WAT-06,S001,WAT,Q2-014,2874.4486172647375,,3600.0,12.0,0.0
S001-WAT-07,S001,WAT,Q2-014,2874.4486172647375,,3600.0,12.0,0.0
S001-WAT-08,S001,WAT,Q2-014,2874.4486172647375,,3600.0,12.0,0.0
S012-MED-01,S012,MED,Q2-009,3416.9924558237217,3600.0,7200.0,22.0,0.0
S009-FOD-01,S009,FOD,Q2-009,3924.1253277775363,,14400.0,6.0,0.0
S007-FOD-01,S007,FOD,Q2-010,3238.2951060483497,,7200.0,10.0,0.0
S007-MED-01,S007,MED,Q2-010,3238.2951060483497,3600.0,3600.0,24.0,0.0
S007-WAT-02,S007,WAT,Q2-010,3238.2951060483497,,3600.0,12.0,0.0
S007-HYG-01,S007,HYG,Q2-011,3178.2951060483497,,10800.0,8.0,0.0
S007-WAT-01,S007,WAT,Q2-011,3178.2951060483497,3600.0,3600.0,12.0,0.0
S012-FOD-01,S012,FOD,Q2-015,3446.9924558237217,,7200.0,10.0,0.0
S012-WAT-01,S012,WAT,Q2-015,3446.9924558237217,3600.0,3600.0,12.0,0.0
S002-FOD-01,S002,FOD,Q2-012,3600.0,,7200.0,10.0,0.0
S002-HYG-01,S002,HYG,Q2-012,3600.0,,10800.0,8.0,0.0
S002-MED-01,S002,MED,Q2-012,3600.0,3600.0,3600.0,24.0,0.0
S002-WAT-01,S002,WAT,Q2-012,3600.0,3600.0,3600.0,12.0,0.0
S002-WAT-02,S002,WAT,Q2-012,3600.0,,3600.0,12.0,0.0
S002-WAT-04,S002,WAT,Q2-012,3600.0,,3600.0,12.0,0.0
S002-FOD-02,S002,FOD,Q2-013,3426.808997513328,,7200.0,10.0,0.0
S002-WAT-03,S002,WAT,Q2-013,3426.808997513328,,3600.0,12.0,0.0
S008-FOD-01,S008,FOD,Q2-017,4979.945194924816,,10800.0,8.0,0.0
S008-MED-01,S008,MED,Q2-017,4979.945194924816,7200.0,7200.0,20.0,0.0
S008-WAT-01,S008,WAT,Q2-017,4979.945194924816,7200.0,7200.0,10.0,0.0
S015-FOD-01,S015,FOD,Q2-018,4966.381132860757,,14400.0,6.0,0.0
S015-MED-01,S015,MED,Q2-018,4966.381132860757,7200.0,7200.0,18.0,0.0
S015-WAT-01,S015,WAT,Q2-018,4966.381132860757,10800.0,10800.0,8.0,0.0
S003-FOD-02,S003,FOD,Q2-022,5556.035980303845,,10800.0,8.0,0.0
S003-WAT-03,S003,WAT,Q2-022,5556.035980303845,,7200.0,10.0,0.0
S003-FOD-01,S003,FOD,Q2-016,5758.084746423528,,10800.0,8.0,0.0
S003-WAT-01,S003,WAT,Q2-016,5758.084746423528,7200.0,7200.0,10.0,0.0
S004-FOD-01,S004,FOD,Q2-019,5932.295107409354,,10800.0,8.0,0.0
S004-HYG-01,S004,HYG,Q2-019,5932.295107409354,,14400.0,6.0,0.0
S004-MED-01,S004,MED,Q2-019,5932.295107409354,7200.0,7200.0,20.0,0.0
S004-WAT-01,S004,WAT,Q2-019,5932.295107409354,7200.0,7200.0,10.0,0.0
S004-WAT-02,S004,WAT,Q2-019,5932.295107409354,,7200.0,10.0,0.0
S004-WAT-03,S004,WAT,Q2-019,5932.295107409354,,7200.0,10.0,0.0
S005-FOD-01,S005,FOD,Q2-021,5873.230262159306,,14400.0,6.0,0.0
S005-HYG-01,S005,HYG,Q2-021,5873.230262159306,,18000.0,4.0,0.0
S005-MED-01,S005,MED,Q2-021,5873.230262159306,10800.0,10800.0,16.0,0.0
S005-WAT-01,S005,WAT,Q2-021,5873.230262159306,10800.0,10800.0,8.0,0.0
S005-WAT-02,S005,WAT,Q2-021,5873.230262159306,,10800.0,8.0,0.0
S005-WAT-03,S005,WAT,Q2-021,5873.230262159306,,10800.0,8.0,0.0
S003-HYG-01,S003,HYG,Q2-023,6865.324452808885,,14400.0,6.0,0.0
S003-WAT-02,S003,WAT,Q2-023,6865.324452808885,,7200.0,10.0,0.0
S008-HYG-01,S008,HYG,Q2-024,6881.786635305167,,14400.0,6.0,0.0
S008-WAT-02,S008,WAT,Q2-024,6881.786635305167,,7200.0,10.0,0.0
S011-WAT-01,S011,WAT,Q2-020,7038.198140352729,10800.0,10800.0,8.0,0.0
S014-FOD-01,S014,FOD,Q2-020,8054.690419457587,,7200.0,10.0,854.6904194575873
