sortie,model,drone,battery,order,start_s,end_s,energy_kwh,return_soc
Q2-001,A,U01,A01,S003,0.0,2262.6293038877106,2.9819825132017286,0.3373372192885048
Q2-002,A,U02,A02,S009,0.0,1688.6132388232504,2.2548229159503292,0.4989282408999268
Q2-003,A,U03,A03,S011,0.0,1222.0229473721238,1.115697766989181,0.7520671628912932
Q2-004,A,U04,A04,S014,0.0,1990.4098166965264,2.290977450343601,0.4908938999236443
Q2-005,B,U05,B01,S010,0.0,1555.3795695782696,1.8231957080613705,0.5442010729846574
Q2-006,B,U06,B02,S013,0.0,1510.4723313264003,1.8247592888917117,0.5438101777770721
Q2-007,C,U07,C01,S001,0.0,1692.169078176492,2.917582313436876,0.6353022108203905
Q2-008,C,U08,C02,S006,0.0,1561.5538687614226,2.5979878695585246,0.6752515163051844
Q2-014,C,U07,C04,S001,1692.1790781764919,3186.348156352984,2.995769268738302,0.6255288414077123
Q2-009,A,U03,A05,S012;S009,2112.5174040287247,4486.841947189161,3.123120027700894,0.3059733271775791
Q2-010,B,U06,B03,S007,2112.5174040287247,3748.7928080679744,1.780022847564915,0.5549942881087713
Q2-011,B,U05,B04,S007,2112.5174040287247,3688.7928080679744,1.656493830918119,0.5858765422704703
Q2-015,A,U04,A03,S012,2112.5174040287247,4221.607507618719,3.058457480531197,0.32034278210417844
Q2-012,C,U08,C03,S002,2112.6838023555483,4220.496197644452,5.853071751015166,0.2683660311231042
Q2-013,A,U02,A06,S002,2143.0,4146.737995026657,3.0186909657332817,0.32917978539260406
Q2-017,B,U05,B02,S008,3688.8028080679746,5650.634248448325,2.9752165389288225,0.25619586526779436
Q2-018,B,U06,B01,S015,3748.8028080679746,5577.079457653541,2.3074528566398618,0.42313678584003456
Q2-022,A,U02,A01,S003,4146.747995026657,6409.377298914367,3.0835928281735354,0.31475714929476994
Q2-016,A,U01,A02,S003,4348.796761146339,6611.426065034049,3.0835928281735354,0.31475714929476994
Q2-019,C,U07,C02,S004,4348.796761146339,6649.853453672369,6.152932019156031,0.2308834976054961
Q2-021,C,U08,C01,S005,4500.0,6377.190524318614,4.222192858303452,0.4722258927120685
Q2-023,B,U06,B04,S003,5577.089457653541,7597.612781297563,2.5854850179136575,0.35362874552158563
Q2-024,B,U05,B03,S008,5650.644248448325,7552.475688828676,2.7634412669181563,0.30913968327046093
Q2-020,A,U03,A04,S011;S014,6175.0,8772.338661139183,3.1543251834616304,0.29903884811963766
