box,area,kind,sortie,delivery_s,hard_due_s,desired_s,priority,lateness_s
S001-MED-01,S001,MED,Q2-001,917.6734374036756,3600.0,3600.0,24.0,0.0
S001-MED-02,S001,MED,Q2-001,917.6734374036756,3600.0,3600.0,24.0,0.0
S001-WAT-01,S001,WAT,Q2-001,917.6734374036756,3600.0,3600.0,12.0,0.0
S006-MED-01,S006,MED,Q2-002,882.3989611547998,3600.0,3600.0,24.0,0.0
S006-WAT-01,S006,WAT,Q2-002,882.3989611547998,3600.0,3600.0,12.0,0.0
S013-MED-01,S013,MED,Q2-003,1083.5902060617477,3600.0,3600.0,24.0,0.0
S013-WAT-01,S013,WAT,Q2-003,1083.5902060617477,3600.0,3600.0,12.0,0.0
S010-MED-01,S010,MED,Q2-004,1104.9680327849212,3600.0,3600.0,24.0,0.0
S010-WAT-01,S010,WAT,Q2-004,1104.9680327849212,3600.0,3600.0,12.0,0.0
S007-MED-01,S007,MED,Q2-005,1141.352045432246,3600.0,3600.0,24.0,0.0
S007-WAT-01,S007,WAT,Q2-005,1141.352045432246,3600.0,3600.0,12.0,0.0
S014-WAT-01,S014,WAT,Q2-006,1272.7615750149298,3600.0,3600.0,12.0,0.0
S014-MED-01,S014,MED,Q2-006,1272.7615750149298,3600.0,7200.0,22.0,0.0
S002-MED-01,S002,MED,Q2-007,1223.3161976444517,3600.0,3600.0,24.0,0.0
S002-WAT-01,S002,WAT,Q2-007,1223.3161976444517,3600.0,3600.0,12.0,0.0
S012-WAT-01,S012,WAT,Q2-008,1285.6903531628857,3600.0,3600.0,12.0,0.0
S012-MED-01,S012,MED,Q2-008,1285.6903531628857,3600.0,7200.0,22.0,0.0
S015-MED-01,S015,MED,Q2-009,3114.8495804357162,7200.0,7200.0,18.0,0.0
S015-WAT-01,S015,WAT,Q2-009,3114.8495804357162,10800.0,10800.0,8.0,0.0
S004-MED-01,S004,MED,Q2-010,3559.7397408626534,7200.0,7200.0,20.0,0.0
S004-WAT-01,S004,WAT,Q2-010,3559.7397408626534,7200.0,7200.0,10.0,0.0
S008-MED-01,S008,MED,Q2-011,5123.064194963497,7200.0,7200.0,20.0,0.0
S008-WAT-01,S008,WAT,Q2-011,5123.064194963497,7200.0,7200.0,10.0,0.0
S003-MED-01,S003,MED,Q2-012,5166.559240920122,7200.0,7200.0,20.0,0.0
S003-WAT-01,S003,WAT,Q2-012,5166.559240920122,7200.0,7200.0,10.0,0.0
S011-MED-01,S011,MED,Q2-013,4665.171784608059,10800.0,10800.0,16.0,0.0
S011-WAT-01,S011,WAT,Q2-013,4665.171784608059,10800.0,10800.0,8.0,0.0
S005-MED-01,S005,MED,Q2-014,4866.50151780224,10800.0,10800.0,16.0,0.0
S005-WAT-01,S005,WAT,Q2-014,4866.50151780224,10800.0,10800.0,8.0,0.0
S009-MED-01,S009,MED,Q2-015,4883.167875054558,10800.0,10800.0,16.0,0.0
S009-WAT-01,S009,WAT,Q2-015,4883.167875054558,10800.0,10800.0,8.0,0.0
S001-WAT-08,S001,WAT,Q2-016,4665.8443405445005,,3600.0,12.0,1065.8443405445005
S001-FOD-01,S001,FOD,Q2-016,4665.8443405445005,,7200.0,10.0,0.0
S001-WAT-04,S001,WAT,Q2-017,4614.944693046609,,3600.0,12.0,1014.9446930466092
S001-WAT-05,S001,WAT,Q2-017,4614.944693046609,,3600.0,12.0,1014.9446930466092
S001-WAT-06,S001,WAT,Q2-018,5096.588330152716,,3600.0,12.0,1496.5883301527156
S001-WAT-07,S001,WAT,Q2-018,5096.588330152716,,3600.0,12.0,1496.5883301527156
S007-WAT-02,S007,WAT,Q2-019,7069.755846382974,,3600.0,12.0,3469.7558463829737
S007-FOD-01,S007,FOD,Q2-019,7069.755846382974,,7200.0,10.0,0.0
S002-WAT-04,S002,WAT,Q2-020,7303.709557043972,,3600.0,12.0,3703.7095570439724
S002-FOD-01,S002,FOD,Q2-020,7303.709557043972,,7200.0,10.0,103.70955704397238
S006-FOD-01,S006,FOD,Q2-021,6965.322493911356,,7200.0,10.0,0.0
S006-HYG-01,S006,HYG,Q2-021,6965.322493911356,,10800.0,8.0,0.0
S001-WAT-02,S001,WAT,Q2-022,6938.170098618891,,3600.0,12.0,3338.1700986188907
S001-WAT-03,S001,WAT,Q2-022,6938.170098618891,,3600.0,12.0,3338.1700986188907
S001-FOD-02,S001,FOD,Q2-023,6877.57399693432,,7200.0,10.0,0.0
S001-FOD-03,S001,FOD,Q2-023,6877.57399693432,,7200.0,10.0,0.0
S013-FOD-01,S013,FOD,Q2-024,7043.490765592392,,7200.0,10.0,0.0
S006-WAT-02,S006,WAT,Q2-025,6904.473557819749,,3600.0,12.0,3304.4735578197487
S006-WAT-03,S006,WAT,Q2-025,6904.473557819749,,3600.0,12.0,3304.4735578197487
