relay,component,site,lon,lat,ground_m,altitude_m,agl_m,launch_s,service_start_s,service_end_s,return_s,energy_kwh,return_soc,component_ready_s
R01,RE01,SS010,109.2760168,23.0134009,395.62078857421875,695.6207885742188,300.0,133.81456582220574,796.571218094636,1607.1963089317185,2107.2796935853335,0.5059207178357812,0.8418997756763184,2812.8099852061196
R02,RE02,NS011,109.2203356,23.0379231,277.22686767578125,577.2268676757812,300.0,105.02022650494462,656.1431240159025,1607.1963089317185,1985.7797787489915,0.4858878063091572,0.8481600605283883,2683.1717000620865
R02,RE03,MS006,109.21531765,23.008111749999998,167.96922302246094,467.96922302246094,300.0,2287.4169202545704,2688.691009956868,3325.450661669142,3545.080519956645,0.3018503255020487,0.9056717732806098,4139.348348288803
R01,RE04,LS004-0.75,109.236341475,23.060508425000002,330.5505676269531,630.5505676269531,300.0,2412.0612920202498,3133.5085712774053,7665.675041946285,8219.026535172354,1.6851609027121617,0.47338721790244953,9403.62315189917
R02,RE01,LS015-0.75,109.20199687499999,23.039218475,498.5931091308594,798.5931091308594,300.0,3874.7075793666354,4552.9047840107505,7146.323105625509,7670.428069363863,1.0532393816909147,0.6708626932215892,8598.306568175798
R02,RE02,LS014-0.25,109.244037925,23.00768455,320.3739318847656,620.3739318847656,300.0,7977.303217733808,8400.797578996488,8869.76462328243,9124.315145535507,0.2539892509306426,0.9206283590841742,9624.35648330521
R01,RE03,S010-H50,109.2760168,23.0194009,321.5816650390625,471.5816650390625,150.0,8529.28587640026,9144.222617976504,9848.240163421993,10281.83371041816,0.45865234967850943,0.8566711407254658,10968.161227475053
R02,RE01,MS001,109.2370418,23.0210511,152.0780792236328,452.0780792236328,300.0,9441.071194520531,9833.965755364778,10423.742908855362,10633.668976301577,0.28326576929701025,0.9114794470946843,11191.348459605066
R01,RE02,LS015-0.75,109.20199687499999,23.039218475,498.5931091308594,798.5931091308594,300.0,10590.257803441746,11268.45500808586,13460.264970740074,13984.369934478427,0.9305257164529701,0.7092107136084469,14862.396006787447
R02,RE04,NS011,109.2203356,23.0379231,277.22686767578125,577.2268676757812,300.0,10957.322357981566,11508.445255492523,13019.60653961164,13398.190009428912,0.6570319477323878,0.7946775163336288,14165.109238195195
R02,RE01,LS004-0.75,109.236341475,23.060508425000002,330.5505676269531,630.5505676269531,300.0,13704.305826667465,14425.753105924621,15058.74773818317,15612.099231409238,0.4937472854201165,0.8457039733062136,16312.68406611116
R01,RE03,LS010-0.75,109.26472552499999,23.01667805,354.4152526855469,654.4152526855469,300.0,14306.342366959663,14887.248169636618,15830.809543898273,16245.608284299022,0.497163118755522,0.8446365253888994,16947.580801293454
R02,RE02,LS015-0.75,109.20199687499999,23.039218475,498.5931091308594,798.5931091308594,300.0,15916.95211401385,16595.149318657965,18078.680874236943,18602.785837975298,0.7141073142910928,0.7768414642840336,19392.891934406056
R01,RE01,LS004-0.75,109.236341475,23.060508425000002,330.5505676269531,630.5505676269531,300.0,16574.342017608877,17295.78929686603,18093.625534002018,18646.977027228088,0.5441155535771114,0.8299638895071527,19368.023970868788
