sortie,model,drone,battery,order,boxes,start_s,end_s,energy_kwh,return_soc
Q2-001,B,U05,B01,S001,S001-MED-01;S001-MED-02;S001-WAT-01,0.0,1209.1002081406846,1.0739809742711182,0.7315047564322205
Q2-002,B,U06,B02,S006,S006-MED-01;S006-WAT-01,0.0,1207.271255642933,1.0987798347576758,0.725305041310581
Q2-003,A,U01,A01,S013,S013-MED-01;S013-WAT-01,0.0,1612.1137454568286,1.9579529908044666,0.5648993353767853
Q2-004,A,U03,A02,S010,S010-MED-01;S010-WAT-01,0.0,1654.8627322365091,1.9548596693902267,0.5655867401355053
Q2-005,A,U04,A03,S007,S007-MED-01;S007-WAT-01,0.0,1727.424090864492,1.9053430229442085,0.5765904393457315
Q2-006,A,U02,A04,S014,S014-MED-01;S014-WAT-01,0.0,1990.4098166965264,2.290977450343601,0.4908938999236443
Q2-007,C,U08,C01,S002,S002-MED-01;S002-WAT-01,0.0,1843.8123952889034,4.7710658569620845,0.40361676787973944
Q2-008,C,U07,C02,S012,S012-MED-01;S012-WAT-01,0.0,1974.5907063257714,4.803869178056123,0.3995163527429846
Q2-009,B,U06,B03,S015,S015-MED-01;S015-WAT-01,1957.271255642933,3725.5479052285,2.0707833850326423,0.48230415374183944
Q2-010,B,U05,B04,S004,S004-MED-01;S004-WAT-01,2317.2712556429333,4238.9148927490405,2.576522393652098,0.35586940158697555
Q2-011,A,U01,A05,S008,S008-MED-01;S008-WAT-01,3757.2712556429333,5928.403800950728,3.199907349579167,0.28890947787129617
Q2-012,A,U03,A06,S003,S003-MED-01;S003-WAT-01,3757.2712556429333,6019.900559530644,2.9819825132017286,0.3373372192885048
Q2-013,C,U08,C03,S011,S011-MED-01;S011-WAT-01,3757.2712556429333,4969.512313573185,1.853327276490564,0.7683340904386795
Q2-014,C,U07,C04,S005,S005-MED-01;S005-WAT-01,3757.2712556429333,5370.461779961546,3.4401985207466845,0.5699751849066644
Q2-015,A,U02,A01,S009,S009-MED-01;S009-WAT-01,3757.2712556429333,5445.884494466183,2.2548229159503292,0.4989282408999268
Q2-016,A,U04,A02,S001,S001-FOD-01;S001-WAT-08,3757.2712556429333,5008.170758779401,1.2823460510666722,0.7150342108740728
Q2-017,B,U06,B01,S001,S001-WAT-04;S001-WAT-05,3757.2712556429333,4906.371463783618,1.2204176183532343,0.6948955954116914
Q2-018,B,U05,B02,S001,S001-WAT-06;S001-WAT-07,4238.9148927490405,5388.015100889725,1.2204176183532343,0.6948955954116914
Q2-019,A,U01,A03,S007,S007-FOD-01;S007-WAT-02,5928.403800950728,7655.827891815219,1.9709224098562683,0.5620172422541626
Q2-020,A,U03,A04,S002,S002-FOD-01;S002-WAT-04,6019.900559530644,8023.638554557301,3.0186909657332817,0.32917978539260406
Q2-021,C,U08,C01,S006,S006-FOD-01;S006-HYG-01,6019.900559530644,7317.454428292067,2.0902466072085755,0.7387191740989281
Q2-022,C,U07,C02,S001,S001-WAT-02;S001-WAT-03,6019.900559530644,7250.069637707136,2.0747077624130004,0.740661529698375
Q2-023,B,U05,B03,S001,S001-FOD-02;S001-FOD-03,6019.900559530644,7169.0007676713285,1.0264536831385938,0.7433865792153516
Q2-024,A,U04,A02,S013,S013-FOD-01,6019.900559530644,7572.014304987473,1.8712384502689927,0.5841692332735572
Q2-025,B,U06,B04,S006,S006-WAT-02;S006-WAT-03,6022.074596664949,7229.3458523078825,1.2935543929813478,0.676611401754663
Q2-026,A,U02,A05,S010,S010-FOD-01,7682.821479718043,9277.68421195455,1.8679377395009866,0.5849027245553363
Q2-027,C,U08,C03,S014,S014-FOD-01,8402.821479718043,10306.11036269766,3.564643415226004,0.5544195730967495
Q2-028,C,U07,C04,S005,S005-WAT-02;S005-WAT-03,9152.821479718043,10766.012004036656,3.561887259325525,0.5547640925843094
Q2-029,A,U01,A06,S008,S008-FOD-01;S008-WAT-02,10472.821479718043,12643.954025025838,3.308433961972008,0.26479245289510933
Q2-030,B,U05,B01,S002,S002-FOD-02;S002-HYG-01,10862.821479718043,12619.515790290148,2.361262397020882,0.4096844007447795
Q2-031,A,U03,A01,S007,S007-HYG-01,10862.821479718043,12530.245570582534,1.8059020563188781,0.5986884319291381
Q2-032,B,U06,B02,S001,S001-HYG-01;S001-HYG-02,10862.821479718043,12011.921687858727,0.9898886690841516,0.7525278327289621
Q2-033,A,U04,A03,S003,S003-FOD-01;S003-WAT-04,10862.821479718043,13125.450783605753,3.0835928281735354,0.31475714929476994
Q2-034,C,U07,C01,S011,S011-FOD-01,10862.821479718043,12009.062537648293,1.8144715798956605,0.7731910525130424
Q2-035,C,U08,C02,S005,S005-FOD-01;S005-HYG-01,10862.821479718043,12476.012004036656,3.4141449653171136,0.5732318793353608
Q2-036,B,U06,B03,S009,S009-FOD-01,12011.921687858727,13450.363426541026,1.7424460288665284,0.5643884927833679
Q2-037,A,U02,A04,S015,S015-FOD-01,12011.921687858727,13920.511106204618,2.360889621551122,0.4753578618775285
Q2-038,B,U05,B04,S004,S004-FOD-01;S004-HYG-01,13609.515790290148,15531.159427396256,2.501298045211374,0.3746754886971565
Q2-039,A,U03,A02,S012,S012-FOD-01,14179.515790290148,16228.605893880143,2.8302280813367986,0.37106042636960035
Q2-040,A,U01,A05,S008,S008-HYG-01,15829.515790290148,17940.648335597944,3.041028826741763,0.32421581627960827
Q2-041,B,U06,B02,S003,S003-FOD-02;S003-HYG-01,15859.515790290148,17880.03911393417,2.424118828605573,0.39397029284860674
Q2-042,C,U07,C04,S004,S004-WAT-02;S004-WAT-03,16459.51579029015,18496.572482816176,5.190578558745182,0.35117768015685225
Q2-043,C,U08,C03,S002,S002-WAT-02;S002-WAT-03,16489.51579029015,18333.328185579052,4.937790747645707,0.38277615654428665
Q2-044,B,U05,B01,S003,S003-WAT-02;S003-WAT-03,16489.51579029015,18510.03911393417,2.936427339487,0.26589316512825
