rank,sortie,failed_samples,all_samples,outage_fraction
1,Q2-009,60,103,0.5825242718446602
2,Q2-012,47,84,0.5595238095238095
3,Q2-013,43,84,0.5119047619047619
4,Q2-017,41,81,0.5061728395061729
5,Q2-015,45,90,0.5
6,Q2-024,40,80,0.5
7,Q2-021,35,72,0.4861111111111111
8,Q2-001,47,97,0.4845360824742268
9,Q2-016,47,97,0.4845360824742268
10,Q2-022,47,97,0.4845360824742268
11,Q2-023,41,85,0.4823529411764706
12,Q2-019,42,93,0.45161290322580644
13,Q2-002,28,69,0.4057971014492754
14,Q2-018,30,74,0.40540540540540543
15,Q2-004,33,84,0.39285714285714285
16,Q2-005,21,60,0.35
17,Q2-006,20,58,0.3448275862068966
18,Q2-010,22,64,0.34375
19,Q2-011,21,63,0.3333333333333333
20,Q2-020,32,114,0.2807017543859649
21,Q2-003,0,46,0.0
22,Q2-007,0,59,0.0
23,Q2-008,0,56,0.0
24,Q2-014,0,53,0.0
