box,area,delivery_s,hard_deadline_s,slack_s
S003-MED-01,S003,1409.2879727143438,7200.0,5790.712027285656
S009-MED-01,S009,1125.8966159156646,10800.0,9674.103384084336
S009-WAT-01,S009,1125.8966159156646,10800.0,9674.103384084336
S011-MED-01,S011,893.198139995606,10800.0,9906.801860004394
S014-MED-01,S014,1272.7615724943244,3600.0,2327.2384275056756
S014-WAT-01,S014,1272.7615724943244,3600.0,2327.2384275056756
S010-MED-01,S010,1085.2264495822315,3600.0,2514.7735504177685
S010-WAT-01,S010,1085.2264495822315,3600.0,2514.7735504177685
S013-MED-01,S013,1062.7694958843779,3600.0,2537.2305041156224
S013-WAT-01,S013,1062.7694958843779,3600.0,2537.2305041156224
S001-MED-01,S001,1380.2695386645796,3600.0,2219.7304613354204
S001-MED-02,S001,1380.2695386645796,3600.0,2219.7304613354204
S001-WAT-01,S001,1380.2695386645796,3600.0,2219.7304613354204
S006-MED-01,S006,1209.4219339808324,3600.0,2390.5780660191676
S006-WAT-01,S006,1209.4219339808324,3600.0,2390.5780660191676
S012-MED-01,S012,2822.70948746116,3600.0,777.2905125388402
S007-MED-01,S007,2636.7776994902124,3600.0,963.2223005097876
S007-WAT-01,S007,2621.7776994902124,3600.0,978.2223005097876
S002-MED-01,S002,3049.3161924076303,3600.0,550.6838075923697
S002-WAT-01,S002,3049.3161924076303,3600.0,550.6838075923697
S012-WAT-01,S012,3379.4750368217237,3600.0,220.52496317827627
S003-WAT-01,S003,4250.287972714344,7200.0,2949.7120272856564
S008-MED-01,S008,4424.142384496832,7200.0,2775.857615503168
S008-WAT-01,S008,4424.142384496832,7200.0,2775.857615503168
S015-MED-01,S015,4365.5783187134875,7200.0,2834.4216812865125
S015-WAT-01,S015,4365.5783187134875,10800.0,6434.4216812865125
S004-MED-01,S004,4771.4983462416,7200.0,2428.5016537583997
S004-WAT-01,S004,4771.4983462416,7200.0,2428.5016537583997
S011-WAT-01,S011,4461.198139995606,10800.0,6338.801860004394
S005-MED-01,S005,5043.23026226289,10800.0,5756.76973773711
S005-WAT-01,S005,5043.23026226289,10800.0,5756.76973773711
