area,minimum_box,minimum_slack_s,hard_box_count,east_km,north_km
S012,S012-WAT-01,220.52496317827627,2,5.359952197597734,5.089205797346122
S002,S002-MED-01,550.6838075923697,2,2.8397166984906725,6.845962932436239
S007,S007-MED-01,963.2223005097876,2,-3.8989541341595633,2.315563103227037
S001,S001-MED-01,2219.7304613354204,3,1.269169921901062,2.7778215102049932
S014,S014-MED-01,2327.2384275056756,2,5.407201871835278,-0.36543339746363435
S006,S006-MED-01,2390.5780660191676,2,-3.184980699070062,-0.08809694940017711
S004,S004-MED-01,2428.5016537583997,2,0.7503871566968314,7.678134427760285
S010,S010-MED-01,2514.7735504177685,2,4.630150275412626,1.206159424934523
S013,S013-MED-01,2537.2305041156224,2,4.155203398046756,2.500462006994726
S008,S008-MED-01,2775.857615503168,2,-1.8560028796848842,7.86306768660957
S015,S015-MED-01,2834.4216812865125,2,-3.944112479791533,4.534463266983643
S003,S003-WAT-01,2949.7120272856564,2,-6.355373355953577,3.5174509725747547
S005,S005-MED-01,5756.76973773711,2,-0.2615595982893243,5.274127435160881
S011,S011-WAT-01,6338.801860004394,2,-1.0780696447321871,2.59292254794618
S009,S009-MED-01,9674.103384084336,2,2.387671919681172,5.181666611375323
