candidate_site,east_km,north_km,covered_total,supported_sorties
NS011,-1.0780696447321871,3.257389532240582,502,20
WS011,-1.6931662935269904,2.59292254794618,492,19
LS015-0.75,-2.9580843598443782,3.4008452516403764,491,16
LS005-0.75,-0.196169698716629,3.9555926017076866,490,20
MS008,-0.9280014398431705,3.931525025853093,480,19
LS008-0.25,-0.4640007199208568,1.9657603095570644,475,20
LS011-0.75,-0.8085522335487761,1.944691192237392,466,20
WS005,-0.8766562470841275,5.274127435160881,466,17
MS005,-0.13077979914393373,2.6370597517630685,463,20
ES015,-3.32901583099673,4.534463266983643,462,15
ES011,-0.462972995937384,2.59292254794618,460,20
MS005-H75,-0.13077979914393373,2.6370597517630685,460,20
MS011,-0.5390348223653652,1.2964603157243384,455,20
SS011,-1.0780696447321871,1.9284560672261308,453,20
LS004-0.25,0.18759678917384365,1.9195273023196833,447,20
