candidate_site,covered_total,Q2-001,Q2-002,Q2-003,Q2-004,Q2-005,Q2-006,Q2-007,Q2-008,Q2-009,Q2-010,Q2-011,Q2-012,Q2-013,Q2-014,Q2-015,Q2-016,Q2-017,Q2-018,Q2-019,Q2-020,Q2-021,Q2-022,Q2-023,Q2-024
NS011,502,31,28,0,2,8,20,0,0,42,22,21,47,43,0,25,31,28,12,20,3,35,31,25,28
WS011,492,33,28,0,0,4,20,0,0,36,22,21,47,43,0,18,33,28,16,19,1,35,33,27,28
LS015-0.75,491,47,28,0,0,0,0,0,0,25,22,21,18,23,0,5,47,41,30,21,0,35,47,41,40
LS005-0.75,490,29,28,0,4,8,20,0,0,48,9,9,47,43,0,31,29,28,16,20,6,35,29,23,28
MS008,480,30,28,0,0,8,20,0,0,46,9,9,47,43,0,28,30,28,16,20,1,35,30,24,28
LS008-0.25,475,33,28,0,12,8,20,0,0,42,9,9,26,31,0,26,33,28,15,19,13,35,33,27,28
LS011-0.75,466,33,28,0,10,8,20,0,0,40,9,9,26,31,0,23,33,28,15,19,11,35,33,27,28
WS005,466,28,28,0,0,0,20,0,0,50,7,7,47,43,0,33,28,28,13,21,0,35,28,22,28
MS005,463,28,28,0,12,8,20,0,0,47,9,9,26,31,0,33,28,27,13,19,13,35,28,22,27
ES015,462,47,28,0,0,0,0,0,0,22,22,21,20,25,0,0,47,28,30,21,0,35,47,41,28
ES011,460,30,28,0,10,8,20,0,0,43,9,9,26,31,0,28,30,28,13,19,11,35,30,24,28
MS005-H75,460,28,28,0,12,8,20,0,0,46,9,9,26,31,0,32,28,27,12,19,13,35,28,22,27
MS011,455,35,28,0,15,8,20,0,0,40,9,9,21,27,0,23,35,22,14,12,16,35,35,29,22
SS011,453,33,28,0,8,8,20,0,0,38,9,9,23,29,0,21,33,28,15,19,9,35,33,27,28
LS004-0.25,447,24,28,0,14,8,20,0,0,46,9,9,26,31,0,31,24,25,15,20,15,35,24,18,25
