area,component,east_km,north_km
S001,1,1.269169921901062,2.7778215102049932
S002,2,2.8397166984906725,6.845962932436239
S003,2,-6.355373355953577,3.5174509725747547
S004,2,0.7503871566968314,7.678134427760285
S005,2,-0.2615595982893243,5.274127435160881
S006,3,-3.184980699070062,-0.08809694940017711
S007,2,-3.8989541341595633,2.315563103227037
S008,2,-1.8560028796848842,7.86306768660957
S009,2,2.387671919681172,5.181666611375323
S010,2,4.630150275412626,1.206159424934523
S011,2,-1.0780696447321871,2.59292254794618
S012,2,5.359952197597734,5.089205797346122
S013,2,4.155203398046756,2.500462006994726
S014,2,5.407201871835278,-0.36543339746363435
S015,2,-3.944112479791533,4.534463266983643
