dependency,area_a,area_b
shared_transport_sortie,S009,S012
shared_transport_sortie,S011,S014
shared_relay_mission,S002,S003
shared_relay_mission,S002,S004
shared_relay_mission,S002,S005
shared_relay_mission,S002,S007
shared_relay_mission,S002,S008
shared_relay_mission,S002,S009
shared_relay_mission,S002,S012
shared_relay_mission,S002,S015
shared_relay_mission,S003,S004
shared_relay_mission,S003,S005
shared_relay_mission,S003,S007
shared_relay_mission,S003,S008
shared_relay_mission,S003,S009
shared_relay_mission,S003,S012
shared_relay_mission,S003,S015
shared_relay_mission,S004,S005
shared_relay_mission,S004,S007
shared_relay_mission,S004,S008
shared_relay_mission,S004,S009
shared_relay_mission,S004,S012
shared_relay_mission,S004,S015
shared_relay_mission,S005,S007
shared_relay_mission,S005,S008
shared_relay_mission,S005,S009
shared_relay_mission,S005,S012
shared_relay_mission,S005,S015
shared_relay_mission,S007,S008
shared_relay_mission,S007,S009
shared_relay_mission,S007,S012
shared_relay_mission,S007,S015
shared_relay_mission,S008,S009
shared_relay_mission,S008,S012
shared_relay_mission,S008,S015
shared_relay_mission,S009,S010
shared_relay_mission,S009,S012
shared_relay_mission,S009,S013
shared_relay_mission,S009,S014
shared_relay_mission,S009,S015
shared_relay_mission,S010,S013
shared_relay_mission,S010,S014
shared_relay_mission,S011,S014
shared_relay_mission,S012,S015
shared_relay_mission,S013,S014
